,,,,,,Piping Line List,,,,,,,
,,,,,,: Total Drawing,,,,,,,
,,,,,,: Total Spools,,,,,,,
,,,,,Client Name: SASOL,: Hold,,,,,,,
,,,,,Job No: 6112,: Issued,,,,,,,
,,,,,Project Title:  EO-EG / A.G.,: Spools not Issued for fab.,,,,,,,
,,,,,,: Average Spools Per Drawing,,,,,,,
,,,,,,: Percent Complete,,,,,,,
0,0,,,,,,,,,,,,
In Detailing,In Checking,Priority Group,Priority #,Area,Line No.,Spool ID,Material,ISO,SPOOL,Shop,Status,HOLD,0
ISS,ISS,,Wash Tower,15X,"2""-VT-020-1304-B135-40-N",MK-02015X-1304-D01A,SS,1,1-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"2""-VT-020-1304-B135-40-N",MK-02015X-1304-D01B,SS,1,1-B,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-N",MK-02015X-1304-D02A,SS,2,2-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-N",MK-02015X-1304-D03A,SS,3,3-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-N",MK-02015X-1304-D03B,SS,3,3-B,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"2""-VT-020-1304-B135-40-N",MK-02015X-1304-D04A,SS,4,4-A,M,10/3/2016,,
ISS,ISS,,Wash Tower,15X,"2""-VT-020-1304-B135-40-N",MK-02015X-1304-D05A,SS,5,5-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"2""-VT-020-1304-B135-40-H",MK-02015X-1304-D06A,SS,6,6-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-H",MK-02015X-1304-D07A,SS,7,7-A,M,10/6/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-H",MK-02015X-1304-D07B,SS,7,7-B,M,10/6/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-N",MK-02015X-1304-D08A,SS,8,8-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-N",MK-02015X-1304-D08B,SS,8,8-B,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-N",MK-02015X-1304-D08C,SS,8,8-C,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-N",MK-02015X-1304-D08D,SS,8,8-D,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-H",MK-02015X-1304-D09A,SS,9,9-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-H",MK-02015X-1304-D10A,SS,10,10-A,M,10/12/2016,,
ISS,ISS,,Wash Tower,15X,"2""-VT-020-1304-B135-40-H",MK-02015X-1304-D11A,SS,11,11-A,M,10/4/2016,,
ISS,ISS,,Wash Tower,15X,"2""-VT-020-1304-B135-40-H",MK-02015X-1304-D12A,SS,12,12-A,M,10/6/2016,,
ISS,ISS,,Wash Tower,15X,"2""-VT-020-1304-B135-40-H",MK-02015X-1304-D13A,SS,13,13-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-H",MK-02015X-1304-D14A,SS,14,14-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-H",MK-02015X-1304-D14B,SS,14,14-B,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-H",MK-02015X-1304-D14C,SS,14,14-C,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-H",MK-02015X-1304-D15A,SS,15,15-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-H",MK-02015X-1304-D15B,SS,15,15-B,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-H",MK-02015X-1304-D15C,SS,15,15-C,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-H",MK-02015X-1304-D15D,SS,15,15-D,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-H",MK-02015X-1304-D16A,SS,16,16-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-H",MK-02015X-1304-D17A,SS,17,17-A,M,10/6/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-H",MK-02015X-1304-D17B,SS,17,17-B,M,10/6/2016,,
ISS,ISS,,Wash Tower,15X,"2""-VT-020-1304-B135-40-H",MK-02015X-1304-D18A,SS,18,18-A,M,10/6/2016,,
ISS,ISS,,Wash Tower,15X,"2""-VT-020-1304-B135-40-H",MK-02015X-1304-D19A,SS,19,19-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"2""-VT-020-1304-B135-40-H",MK-02015X-1304-D20A,SS,20,20-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-H",MK-02015X-1304-D21A,SS,21,21-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-H",MK-02015X-1304-D22A,SS,22,22-A,M,10/6/2016,,
ISS,ISS,,Wash Tower,15X,"2""-VT-020-1304-B135-40-H",MK-02015X-1304-D23A,SS,23,23-A,M,10/6/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-H",MK-02015X-1304-D24A,SS,24,24-A,M,10/6/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-N",MK-02015X-1304-D25A,SS,25,25-A,M,10/6/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-N",MK-02015X-1304-D25B,SS,25,25-B,M,10/6/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-N",MK-02015X-1304-D26A,SS,26,26-A,M,10/6/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-N",MK-02015X-1304-D27A,SS,27,27-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-N",MK-02015X-1304-D27B,SS,27,27-B,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-N",MK-02015X-1304-D27C,SS,27,27-C,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-H",MK-02015X-1304-D28A,SS,28,28-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-N",MK-02015X-1304-D29A,SS,29,29-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-VT-020-1304-B135-40-N",MK-02015X-1304-D29B,SS,29,29-B,M,10/6/2016,,
ISS,ISS,,Wash Tower,15X,"2""-AU-020-4352-A021-29-N",MK-02015X-4352-D03A,CS,30,30-A,PA,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"2""-AU-020-4352-A021-29-N",MK-02015X-4352-D03B,CS,30,30-B,PA,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"2""-AU-020-4352-A021-29-N",MK-02015X-4352-D04A,CS,31,31-A,PA,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"2""-AU-020-4352-A021-29-N",MK-02015X-4352-D04B,CS,31,31-B,PA,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"2""-AU-020-4352-A021-29-N",MK-02015X-4352-D14A,CS,32,32-A,PA,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"2""-AU-020-4352-A021-29-N",MK-02015X-4352-D14B,CS,32,32-B,PA,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"2""-AU-020-4352-A021-29-N",MK-02015X-4352-D14C,CS,32,32-C,PA,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"2""-AU-020-4352-A021-29-N",MK-02015X-4352-D15A,CS,33,33-A,PA,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"2""-AU-020-4352-A021-29-N",MK-02015X-4352-D15B,CS,33,33-B,PA,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1""-HL-020-1062-B135-40-N",MK-02015X-1062-D05A,SS,34,34-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-HM-020-1063-B135-40-N",MK-02015X-1063-D03A,SS,35,35-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"1.5""-HM-020-1064-B135-40-N",MK-02015X-1064-D03A,SS,36,36-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"54""-HL-020-1062-B135-40-N",MK-02015X-1062-D01A,SS,37,37-A,M,10/5/2016,,
ISS,ISS,,Wash Tower,15X,"54""-HL-020-1062-B135-40-N",MK-02015X-1062-D01B,SS,37,37-B,M,10/5/2016,,
ISS,ISS,,Wash Tower,15X,"54""-HL-020-1062-B135-40-N",MK-02015X-1062-D02A,SS,38,38-A,M,10/12/2016,,
ISS,ISS,,Wash Tower,15X,"54""-HL-020-1062-B135-40-N",MK-02015X-1062-D03A,SS,39,39-A,M,10/12/2016,,
ISS,ISS,,Wash Tower,15X,"54""-HL-020-1062-B135-40-N",MK-02015X-1062-D04A,SS,40,40-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"54""-HL-020-1062-B135-40-N",MK-02015X-1062-D04B,SS,40,40-B,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"54""-HL-020-1062-B135-40-N",MK-02015X-1062-D04C,SS,40,40-C,M,10/26/2016,,
ISS,ISS,,Wash Tower,15X,"16""-WX-020-1066-B135-40-H",MK-02015X-1066-D01A,SS,41,41-A,M,10/17/2016,,
ISS,ISS,,Wash Tower,15X,"16""-WX-020-1066-B135-40-H",MK-02015X-1066-D01B,SS,41,41-B,M,10/17/2016,,
ISS,ISS,,Wash Tower,15X,"16""-WX-020-1066-B135-40-H",MK-02015X-1066-D02A,SS,42,42-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"16""-WX-020-1066-B135-40-H",MK-02015X-1066-D03A,SS,43,43-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"16""-WX-020-1066-B135-40-H",MK-02015X-1066-D03AR,SS,43,43-AR,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"16""-WX-020-1066-B135-40-H",MK-02015X-1066-D03B,SS,43,43-B,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"16""-WX-020-1066-B135-40-H",MK-02015X-1066-D03BR,SS,43,43-BR,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"16""-WX-020-1066-B135-40-H",MK-02015X-1066-D04A,SS,44,44-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"16""-WX-020-1066-B135-40-H",MK-02015X-1066-D04B,SS,44,44-B,M,5/30/2017,,
ISS,ISS,,Wash Tower,15X,"14""-WX-020-1104-B135-40-N",MK-02015X-1104-D01A,SS,45,45-A,M,10/18/2016,,
ISS,ISS,,Wash Tower,15X,"14""-WX-020-1104-B135-40-N",MK-02015X-1104-D01B,SS,45,45-B,M,10/18/2016,,
ISS,ISS,,Wash Tower,15X,"14""-WX-020-1104-B135-40-N",MK-02015X-1104-D02A,SS,46,46-A,M,10/10/2016,,
ISS,ISS,,Wash Tower,15X,"14""-WX-020-1104-B135-40-N",MK-02015X-1104-D02B,SS,46,46-B,M,10/10/2016,,
