spool,piecemark,material,issued,priority_group,priority,area,iso,detailing,checking,shop,on_hold,multiplier,items,missing,missingsupports,missingvalves,missingpipe,missingfittings,missingflanges,workable,pulled,weldout,rts,rtsc,stc,delivered,lifespan,i_p,p_w,w_d_np,w_stc,w_d_p
1-A,MK-02015X-1304-D01A,SS,10/10/2016,,Wash Tower,15X,1,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/14/2016,,,,3/20/2017,161,24,11,126,,
1-B,MK-02015X-1304-D01B,SS,10/10/2016,,Wash Tower,15X,1,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/14/2016,,,,3/20/2017,161,24,11,126,,
2-A,MK-02015X-1304-D02A,SS,10/10/2016,,Wash Tower,15X,2,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/11/2016,11/14/2016,,,,3/20/2017,161,32,3,126,,
3-A,MK-02015X-1304-D03A,SS,10/10/2016,,Wash Tower,15X,3,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/16/2016,,,11/30/2016,12/16/2016,67,24,13,,14,30
3-B,MK-02015X-1304-D03B,SS,10/10/2016,,Wash Tower,15X,3,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/17/2016,,,11/30/2016,12/16/2016,67,24,14,,13,29
4-A,MK-02015X-1304-D04A,SS,10/3/2016,,Wash Tower,15X,4,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/11/2016,11/15/2016,,,,3/20/2017,168,39,4,125,,
5-A,MK-02015X-1304-D05A,SS,10/10/2016,,Wash Tower,15X,5,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/11/2016,11/13/2016,,,,3/20/2017,161,32,2,127,,
6-A,MK-02015X-1304-D06A,SS,10/10/2016,,Wash Tower,15X,6,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/16/2016,11/22/2016,,,11/30/2016,12/16/2016,67,37,6,,8,24
7-A,MK-02015X-1304-D07A,SS,10/6/2016,,Wash Tower,15X,7,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/8/2016,,,11/17/2016,12/16/2016,71,28,5,,9,38
7-B,MK-02015X-1304-D07B,SS,10/6/2016,,Wash Tower,15X,7,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/8/2016,,,11/17/2016,12/16/2016,71,28,5,,9,38
8-A,MK-02015X-1304-D08A,SS,10/10/2016,,Wash Tower,15X,8,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/17/2016,,,11/30/2016,12/16/2016,67,24,14,,13,29
8-B,MK-02015X-1304-D08B,SS,10/10/2016,,Wash Tower,15X,8,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/16/2016,,,11/30/2016,12/16/2016,67,24,13,,14,30
8-C,MK-02015X-1304-D08C,SS,10/10/2016,,Wash Tower,15X,8,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/16/2016,,,11/30/2016,12/16/2016,67,24,13,,14,30
8-D,MK-02015X-1304-D08D,SS,10/10/2016,,Wash Tower,15X,8,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/16/2016,,,11/30/2016,12/16/2016,67,24,13,,14,30
9-A,MK-02015X-1304-D09A,SS,10/10/2016,,Wash Tower,15X,9,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/8/2016,,,11/17/2016,12/16/2016,67,24,5,,9,38
10-A,MK-02015X-1304-D10A,SS,10/12/2016,,Wash Tower,15X,10,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/21/2016,11/29/2016,,,11/30/2016,12/16/2016,65,40,8,,1,17
11-A,MK-02015X-1304-D11A,SS,10/4/2016,,Wash Tower,15X,11,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/18/2016,,,11/30/2016,12/16/2016,73,30,15,,12,28
12-A,MK-02015X-1304-D12A,SS,10/6/2016,,Wash Tower,15X,12,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/16/2016,12/6/2016,,,,12/21/2016,76,41,20,15,,
13-A,MK-02015X-1304-D13A,SS,10/10/2016,,Wash Tower,15X,13,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/16/2016,11/26/2016,,,,12/21/2016,72,37,10,25,,
14-A,MK-02015X-1304-D14A,SS,10/10/2016,,Wash Tower,15X,14,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/17/2016,,,11/30/2016,12/16/2016,67,24,14,,13,29
14-B,MK-02015X-1304-D14B,SS,10/10/2016,,Wash Tower,15X,14,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/16/2016,,,11/30/2016,12/16/2016,67,24,13,,14,30
14-C,MK-02015X-1304-D14C,SS,10/10/2016,,Wash Tower,15X,14,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/16/2016,,,11/30/2016,12/16/2016,67,24,13,,14,30
15-A,MK-02015X-1304-D15A,SS,10/10/2016,,Wash Tower,15X,15,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/17/2016,,,11/30/2016,12/16/2016,67,24,14,,13,29
15-B,MK-02015X-1304-D15B,SS,10/10/2016,,Wash Tower,15X,15,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/17/2016,,,11/30/2016,12/16/2016,67,24,14,,13,29
15-C,MK-02015X-1304-D15C,SS,10/10/2016,,Wash Tower,15X,15,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/14/2016,,,11/17/2016,12/16/2016,67,24,11,,3,32
15-D,MK-02015X-1304-D15D,SS,10/10/2016,,Wash Tower,15X,15,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/14/2016,,,11/17/2016,12/16/2016,67,24,11,,3,32
16-A,MK-02015X-1304-D16A,SS,10/10/2016,,Wash Tower,15X,16,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/10/2016,,,11/17/2016,12/16/2016,67,24,7,,7,36
17-A,MK-02015X-1304-D17A,SS,10/6/2016,,Wash Tower,15X,17,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/16/2016,12/3/2016,,,,12/21/2016,76,41,17,18,,
17-B,MK-02015X-1304-D17B,SS,10/6/2016,,Wash Tower,15X,17,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/16/2016,,,11/30/2016,12/16/2016,71,28,13,,14,30
