,15069,,,,,,15069,15069,15069,15069,50,,4350,,15066,,,,,,,,,,,,,,,,,,,,,,,,,
SHOP,ISO NO.,PIECE MARK,REFERENCE DWG.,LINE NO.,PAINT SYS.,TOP COAT COLOR,DATE PULL,FIRST FIT,FINAL FIT,WELD OUT,DATE TO STRESS,READY TO SHIP COATING,SHIP TO COATING,READY TO SHIP,TO SITE,LOAD #,COMMENTS,LINE CLASS,AREA,ON HOLD,REL HOLD DATE,HYDRO,PWHT,PMI,ISSUE DATE,PRIORITY DATE,PRIORITY,PCI REV,BACK AT SHOP,FINAL CHECK,ORIGINAL PAINT LOAD,RT %,DESCRIPTION,PIPE FT,SO #,FAB CODE,RELEASE DATE,CLIENT REV,Pcmkiitemw,ID STATUS
BR        ,4399-A,MK-02014X-1090-002A,020-14X-1090-02,"2""-WX-020-1090-B135-40-H                     ",VII / III SEE ISO        ,N/A MEDIUM GRAY / RA,8/6/2017,8/9/2017,8/9/2017,8/9/2017,,,8/24/2017,,,,,4,14X       ,,,N/A   ,N/A   ,YES   ,4/28/2017,,-         ,0,,8/9/2017,B2029,20,,0.89,6112,B135-40        ,,1RL   ,,PAINT     
BR        ,59-A,MK-02001X-1054-001A,020-01X-1054-01,"3""-BD-020-1054-B135-40-N                     ",NONE                     ,N/A                 ,3/1/2017,3/27/2017,3/27/2017,3/27/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,1/31/2017,,-         ,0,,3/27/2017,,20,,37.64,6112,B135-40        ,,1,,FIELD     
BR        ,59-B,MK-02001X-1054-001B,020-01X-1054-01,"3""-BD-020-1054-B135-40-N                     ",NONE                     ,N/A                 ,1/19/2017,1/21/2017,1/21/2017,1/21/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,11/10/2016,,-         ,1,,,,20,,39.99,6112,B135-40        ,,1,,FIELD     
BR        ,60-A,MK-02001X-1054-002A,020-01X-1054-02,"3""-BD-020-1054-B135-40-N                     ",NONE                     ,N/A                 ,1/19/2017,1/21/2017,1/21/2017,1/21/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,11/10/2016,,-         ,1,,,,20,,39.99,6112,B135-40        ,,1,,FIELD     
BR        ,60-B,MK-02001X-1054-002B,020-01X-1054-02,"3""-BD-020-1054-B135-40-N                     ",NONE                     ,N/A                 ,1/19/2017,1/21/2017,1/21/2017,1/21/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,11/17/2016,,-         ,0,,,,20,,39.99,6112,B135-40        ,,1,,FIELD     
BR        ,61-A,MK-02001X-1054-003A,020-01X-1054-03,"3""-BD-020-1054-B135-40-N                     ",NONE                     ,N/A                 ,1/25/2017,1/27/2017,1/27/2017,1/28/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,11/10/2016,,-         ,1,,,,20,,39.99,6112,B135-40        ,,1,,FIELD     
BR        ,61-B,MK-02001X-1054-003B,020-01X-1054-03,"3""-BD-020-1054-B135-40-N                     ",NONE                     ,N/A                 ,1/25/2017,1/27/2017,1/27/2017,1/27/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,11/10/2016,,-         ,1,,,,20,,39.99,6112,B135-40        ,,1,,FIELD     
BR        ,1732-B,MK-02001X-2013-003B,020-01X-2013-03,"10""-HL-020-2013-A135-01-N                    ",NONE                     ,N/A                 ,1/11/2017,1/14/2017,1/14/2017,1/14/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,1/4/2017,,-         ,0,,,,20,,16.27,6112,A135-01        ,,1,,FIELD     
BR        ,573-A,MK-02001X-2059-003A,020-01X-2059-03,"6""-WX-020-2059-B135-40-N                     ",NONE                     ,N/A                 ,3/10/2017,4/9/2017,4/9/2017,4/9/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,12/6/2016,,-         ,0,,4/9/2017,,20,,35.67,6112,B135-40        ,,1,,FIELD     
BR        ,2051-C,MK-02001X-2157-001C,020-01X-2157-01,"2""-MO-020-2157-A135-01-N                     ",NONE                     ,N/A                 ,2/15/2017,2/18/2017,2/18/2017,2/18/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,1/18/2017,,-         ,0,,,,20,,0.66,6112,A135-01        ,,1,,FIELD     
BR        ,715-B,MK-02001X-3087-001B,020-01X-3087-01,"12""-EO-020-3087-A135-41-N                    ",NONE                     ,N/A                 ,2/15/2017,3/7/2017,3/7/2017,3/7/2017,,,,,4/12/2017,B3001,,4,01X       ,,3/30/2017,N/A   ,N/A   ,YES   ,12/14/2016,,-         ,2,,3/7/2017,,20,,1.9,6112,A135-41        ,,2,,FIELD     
BR        ,1008-C,MK-02001X-3090-002C,020-01X-3090-02,"2""-HL-020-3090-A135-41-N                     ",NONE                     ,N/A                 ,4/2/2017,4/10/2017,4/10/2017,4/10/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,1/9/2017,,-         ,0,,4/10/2017,,20,,5.89,6112,A135-41        ,,1,,FIELD     
BR        ,722-A,MK-02001X-3092-001A,020-01X-3092-01,"10""-BD-020-3092-A135-41-N                    ",NONE                     ,N/A                 ,2/15/2017,3/5/2017,3/5/2017,3/5/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,12/14/2016,,-         ,0,,3/5/2017,,20,,3.79,6112,A135-41        ,,1,,FIELD     
BR        ,723-A,MK-02001X-3093-001A,020-01X-3093-01,"10""-BD-020-3093-A135-41-N                    ",NONE                     ,N/A                 ,2/15/2017,3/5/2017,3/5/2017,3/5/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,12/14/2016,,-         ,0,,3/5/2017,,20,,3.81,6112,A135-41        ,,1,,FIELD     
BR        ,2262-B,MK-02001X-3128-002B,020-01X-3128-02,"3""-WT-020-3128-A135-41-N                     ",NONE                     ,N/A                 ,1/30/2017,2/6/2017,2/6/2017,2/6/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,1/12/2017,,-         ,0,,,,20,,40,6112,A135-41        ,,1,,FIELD     
BR        ,580-C,MK-02001X-3131-001C,020-01X-3131-01,"3""-WT-020-3131-A135-41-N                     ",NONE                     ,N/A                 ,1/30/2017,2/6/2017,2/6/2017,2/6/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,12/14/2016,,-         ,0,,,,20,,15.7,6112,A135-41        ,,1,,FIELD     
BR        ,581-A,MK-02001X-3146-001A,020-01X-3146-01,"2""-PW-020-3146-A135-01-N                     ",NONE                     ,N/A                 ,3/31/2017,4/2/2017,4/2/2017,4/6/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,12/1/2016,,-         ,1,,4/6/2017,,20,,40,6112,A135-01        ,,1,,FIELD     
BR        ,582-C,MK-02001X-3146-002C,020-01X-3146-02,"2""-PW-020-3146-A135-01-N                     ",NONE                     ,N/A                 ,3/10/2017,3/25/2017,3/25/2017,3/26/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,12/1/2016,,-         ,1,,3/26/2017,,20,,40,6112,A135-01        ,,1,,FIELD     
