BOM PATH, POS, TAG NUMBER, SIZE, DESCRIPTION, LIST QUANTITY, UNIT, TRANSMITTL, GROUP-PERF, SKETCH, PRIORITY, SPEC, CWP
PIPING/6951/078/533-A,1,C135SUU~2,2,"- Pipes (Length),ASME B36.10,ASTM A106 Gr.B,PE,Seamless, S-160 2""",14.2,ft,78,PIPE,6951-533-A,10,G1A-15,13C
PIPING/6951/078/533-A,2,CPP0AANB~3/4,3/4,"- Pipes (Length),ASME B36.10,ASTM A106 Gr.B,PE,Seamless, S-XXS 3/4""",0.3,ft,78,PIPE,6951-533-A,10,G1A-15,13C
PIPING/6951/078/533-A,3,CKG4HH~4X2,4X2,"- Sockolet,MSS SP-97,ASTM A105,SW Ends,6000 Lbs, 4X2""",1,ea,78,FITTINGS,6951-533-A,10,G1A-15,13C
PIPING/6951/078/533-A,4,CKJ135~2X2,2X2,"- Eq Te,ASME B16.11,ASTM A105,SW Ends,6000 Lbs, 2X2""",1,ea,78,FITTINGS,6951-533-A,10,G1A-15,13C
PIPING/6951/078/533-A,5,CKJ135~2X2,2X2,"- Eq Te,ASME B16.11,ASTM A105,SW Ends,6000 Lbs, 2X2""",1,ea,78,FITTINGS,6951-533-A,10,G1A-15,13C
PIPING/6951/078/533-A,6,CED4NCY~2X3/4,2X3/4,"- Ecc Swage,MSS SP-95,ASTM A234 Gr.WPB,PE, S-160 x S-XXS 2X3/4""",1,ea,78,FITTINGS,6951-533-A,10,G1A-15,13C
PIPING/6951/078/533-A,7,CNU86J~3/4,3/4,"- Full Coup,ASME B16.11,ASTM A105,SW Ends,9000 Lbs, 3/4""",1,ea,78,FITTINGS,6951-533-A,10,G1A-15,13C
PIPING/6951/078/533-A,8,CNLYU7~3/4,3/4,"- 90deg Elb,ASME B16.11,ASTM A105,SW Ends,9000 Lbs, 3/4""",1,ea,78,FITTINGS,6951-533-A,10,G1A-15,13C
PIPING/6951/078/534-A,1,C135SUU~2,2,"- Pipes (Length),ASME B36.10,ASTM A106 Gr.B,PE,Seamless, S-160 2""",0.4,ft,78,PIPE,6951-534-A,10,G1A-15,13C
PIPING/6951/078/534-A,2,C135SUU~2,2,"- Pipes (Length),ASME B36.10,ASTM A106 Gr.B,PE,Seamless, S-160 2""",2.3,ft,78,PIPE,6951-534-A,10,G1A-15,13C
PIPING/6951/078/534-A,3,CKG4HH~4X2,4X2,"- Sockolet,MSS SP-97,ASTM A105,SW Ends,6000 Lbs, 4X2""",1,ea,78,FITTINGS,6951-534-A,10,G1A-15,13C
PIPING/6951/078/534-A,4,CGU80E9~2,2,"- Nip,ASME B36.10,ASTM A106 Gr.B,PE/NPTM End,Seamless,L  6in, S-160 2""",1,ea,78,FITTINGS,6951-534-A,10,G1A-15,13C
PIPING/6951/078/534-A,5,CKG3TG~2,2,"- 90deg Elb,ASME B16.11,ASTM A105,SW Ends,6000 Lbs, 2""",1,ea,78,FITTINGS,6951-534-A,10,G1A-15,13C
PIPING/6951/078/534-A,6,C329SWZ5~2,2,"- Union,MSS SP-83,ASTM A105,SW Ends,6000 Lbs, 2""",1,ea,78,FITTINGS,6951-534-A,10,G1A-15,13C
PIPING/6951/078/534-A,7,CKG3TG~2,2,"- 90deg Elb,ASME B16.11,ASTM A105,SW Ends,6000 Lbs, 2""",1,ea,78,FITTINGS,6951-534-A,10,G1A-15,13C
PIPING/6951/078/534-A,8,CKG3TG~2,2,"- 90deg Elb,ASME B16.11,ASTM A105,SW Ends,6000 Lbs, 2""",1,ea,78,FITTINGS,6951-534-A,10,G1A-15,13C
PIPING/6951/078/534-A,9,C1N6KT90~2,2,"- Gat Fem,API 602,ASTM A105,SW Ends,800 Lbs, Tag: VSA02-8WB 2""",1,ea,78,VALVES / IN-LINE ITEMS,6951-534-A,10,G1A-15,13C
