Piping Line List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1701,:Total Isos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client Name:,EXXON,,,,,,,,,,1701,:Total Spools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Job No:,6951,,,,,,,,,,86,:Hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fab. Location:,,,,,,,,,,,1384,:Issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,317,:Isos not Issued for fab.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,315,UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,RTI,,,,,,,,,,,,,,,,,,,Transmittal Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,,,,,,,,,,,,,,,,,,,20-Jul-20,New,,,Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO,SPOOL,In Detailing,In Checking,SHOP,Status,Individual Priority,Priority Group,Priority Date,Area,Material,Pipe Spec.,Painting Spec.,Top Coat,Pipeline Reference,Spool ID,Line No.,PMI,HOLD,PCI / Client,RFI No. / Email ,Release Date,Remarks,Trans. No.,Date Rcv'd,Rev. No.,Trans. No.,Date Rcv'd,Rev. No.,Trans. No.,Date Rcv'd,Rev. No.,Flg,Not Issued,Weld Out,Remaining To WO,Remaining MH,STS,T6951,Man Hours,WORKABLE 6/25/20,WORKABLE 6/23/20,WORKABLE 6/16/20,WORKABLE 6/9/20,WORKABLE 6/8/20,WORKABLE 6/2/20,WORKABLE 5/27/20,WORKABLE 5/26/20,WORKABLE 5/19/20,WORKABLE 5/18/20,WORKABLE 5/13/20,WORKABLE 5/11/20,WORKABLE 4/30/20,WORKABLE 4/28/20,WORKABLE 4/22/20,WORKABLE 4/20/20,WORKABLE 4/17/20,WORKABLE 4/13/20,WORKABLE 4/6/20,Spools Missing Valves 3-30-20,WORKABLE 3/30/20,WORKABLE 3/26/20,WORKABLE 3/24/20,WORKABLE 3/23/20,WORKABLE 3/20/20,WORKABLE 3/18/20,WORKABLE 3/16/20,WORKABLE 3/9/20,WORKABLE 3/01/20,WORKABLE 2/24/20,WORKABLE 2/10/20,Line No.,Size,
1,1,ISS,ISS,PA,3/26/2020,13,2,8/17/2020,13G,CS,G1A-6,1,BEIGE 88023,13G-C-6123310-01,6951-1-A,"2""-C-6123310-G1A-6-N-R2",,,,,,,2,12/5/2019,0,,,,,,,SR,,4/6/2020,,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,SB,-C-6123310-G1A-6-N-R2
1,1,ISS,ISS,PA,3/26/2020,13,2,8/17/2020,13G,CS,G1A-6,1,BEIGE 88023,13G-C-6123310-01,6951-1-B,"2""-C-6123310-G1A-6-N-R2",,,,,,,2,12/5/2019,0,,,,,,,,,4/6/2020,,,1.2,1.2,1.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,SB,-C-6123310-G1A-6-N-R2
2,2,ISS,ISS,PA,3/26/2020,13,2,8/17/2020,13G,CS,G3A-3,4,BEIGE 88023,13G-CD-6116912-01,6951-2-A,"2""-CD-6116912-G3A-3-N-R4",,,,,,,2,12/5/2019,0,,,,,,,SR,,4/6/2020,,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,SB,#NAME?
2,2,ISS,ISS,PA,3/26/2020,13,2,8/17/2020,13G,CS,G3A-3,4,BEIGE 88023,13G-CD-6116912-01,6951-2-B,"2""-CD-6116912-G3A-3-N-R4",,,,,,,2,12/5/2019,0,,,,,,,,,4/6/2020,,,1.2,1.2,1.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,SB,#NAME?
3,3,ISS,ISS,BR,6/24/2020,13,2,8/17/2020,13G,SS,G1U-8-TP1,NONE,-,13G-DW-6197060-01,6951-3-A,"2""-DW-6197060-G1U-8-TP1-E-R4",,,,,,,2,12/5/2019,0,,,,,,,,1,,1,21.525,#N/A,21.525,12.6,#N/A,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,SB,#NAME?
3,3,ISS,ISS,BR,6/24/2020,13,2,8/17/2020,13G,SS,G1U-8-TP1,NONE,-,13G-DW-6197060-01,6951-3-B,"2""-DW-6197060-G1U-8-TP1-E-R4",,,,,,,2,12/5/2019,0,,,,,,,,1,,1,11.55,#N/A,11.55,4.2,#N/A,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,SB,#NAME?
4,4-A,ISS,ISS,PA,5/20/2020,13,2,8/17/2020,13G,CS,G1A-3,6,BEIGE 88023,13G-FG-6121206-01,6951-4-A,"8""-FG-6121206-G1A-3-E-R4",,,,,,,2,12/5/2019,0,,,,,,,SR,,,1,14.384,#N/A,14.384,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4-A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8,SB,#NAME?
5,5,ISS,ISS,PA,3/17/2020,13,2,8/17/2020,13G,CS,G1A-3,1,BEIGE 88023,13G-IA-6192004-01,6951-5-A,"2""-IA-6192004-G1A-3-N-R4",,,,,,,2,12/5/2019,0,,,,,,,SR,,3/20/2020,,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,5,#N/A,#N/A,#N/A,2,SB,#NAME?
5,5,ISS,ISS,PA,3/17/2020,13,2,8/17/2020,13G,CS,G1A-3,1,BEIGE 88023,13G-IA-6192004-01,6951-5-B,"2""-IA-6192004-G1A-3-N-R4",,,,,,,2,12/5/2019,0,,,,,,,SR,,3/20/2020,,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,5,#N/A,#N/A,#N/A,2,SB,#NAME?
6,6-A,ISS,ISS,PA,5/20/2020,13,2,8/17/2020,13G,CS,G1A-3,6a,ALUMINUM,13G-LS-6196112-01,6951-6-A,"3""-LS-6196112-G1A-3-IH-R4",,,,,,,2,12/5/2019,0,,,,,,,SR,,,1,19.872,#N/A,19.872,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6-A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,SB,#NAME?
7,7-A,ISS,ISS,PA,5/20/2020,13,2,8/17/2020,13G,CS,G1A-3,1,BLUE 98702,13G-N-6193045-01,6951-7-A,"3""-N-6193045-G1A-3-N-R4",,,,,,,2,12/5/2019,0,,,,,,,SR,,,1,19.872,#N/A,19.872,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7-A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,SB,#NAME?
