,1462,,,,,,1419,1326,1316,1310,24,0,1182,0,485,992,134,244,280,,,,
SHOP,ISO NO.,PIECE MARK,PA,REF. DWG.,PAINT SYS.,TOP COAT,DATE PULL,FIRST FIT,FINAL FIT,WELD OUT,DATE TO STRESS,BACK AT SHOP,SHOP QC,CLIENT QC,READY TO SHIP COATING,SHIP TO COATING,APPROVAL TO SHIP,READY TO SHIP,TO SITE,LOAD NO.,SPEC.,FAB CODE,PHASE
BR        ,3,6951-3-A,#N/A,13G-DW-6197060-01,NONE                     ,-                   ,06/24/2020,06/25/2020,06/25/2020,06/25/2020,,,07/08/2020,,,,,,,B3003     ,G1U-8-TP1 ,B31.3          ,13G       
BR        ,3,6951-3-B,#N/A,13G-DW-6197060-01,NONE                     ,-                   ,06/24/2020,06/25/2020,06/25/2020,06/25/2020,,,07/08/2020,,,,,,,B3003     ,G1U-8-TP1 ,B31.3          ,13G       
BR        ,89,6951-89-A,#N/A,16A-DW-6197066-01,NONE                     ,-                   ,06/24/2020,06/29/2020,06/29/2020,06/29/2020,,,07/08/2020,,,,,,,B3003     ,G1U-8-TP1 ,B31.3          ,16A       
BR        ,89,6951-89-B,#N/A,16A-DW-6197066-01,NONE                     ,-                   ,06/24/2020,06/29/2020,06/29/2020,06/29/2020,,,07/08/2020,,,,,,,B3003     ,G1U-8-TP1 ,B31.3          ,16A       
BR        ,89,6951-89-C,#N/A,16A-DW-6197066-01,NONE                     ,-                   ,06/24/2020,06/29/2020,06/29/2020,06/29/2020,,,07/08/2020,,,,,,,B3003     ,G1U-8-TP1 ,B31.3          ,16A       
BR        ,89,6951-89-D,#N/A,16A-DW-6197066-01,NONE                     ,-                   ,06/24/2020,06/29/2020,06/30/2020,06/30/2020,,,07/08/2020,,,,,,,B3003     ,G1U-8-TP1 ,B31.3          ,16A       
BR        ,89,6951-89-E,#N/A,16A-DW-6197066-01,NONE                     ,-                   ,06/24/2020,06/29/2020,06/30/2020,06/30/2020,,,07/08/2020,,,,,,,B3003     ,G1U-8-TP1 ,B31.3          ,16A       
BR        ,89,6951-89-F,#N/A,16A-DW-6197066-01,NONE                     ,-                   ,06/24/2020,06/29/2020,06/30/2020,06/30/2020,,,07/08/2020,,,,,,,B3003     ,G1U-8-TP1 ,B31.3          ,16A       
BR        ,98,6951-98-A,#N/A,16B-DW-6197066-01,NONE                     ,-                   ,05/14/2020,05/20/2020,05/20/2020,05/20/2020,,,06/11/2020,,,,,06/15/2020,06/16/2020,B3002     ,G1U-8-TP1 ,B31.3          ,16B       
