spool,piecemark,material,issued,priority_group,priority,area,iso,detailing,checking,shop,on_hold,multiplier,items,missing,missingsupports,missingvalves,missingpipe,missingfittings,missingflanges,workable,pulled,weldout,rts,rtsc,stc,delivered,lifespan,i_p,p_w,w_stc,stc_rts,rts_d_p,w_d_p,w_rtsc,rtsc_stc,w_rts,rts_d_np,w_d_np
1-Jan,MK-000-P-9001-70-1,CS,2/6/2020,,1,70,1,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/9/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,3,5,18,2,25,,,,,
1-Feb,MK-000-P-9004-70-1,CS,2/18/2020,,1,70,2,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/22/2020,3/17/2020,,3/4/2020,3/19/2020,30,2,2,11,13,2,26,,,,,
1-Mar,MK-000-P-9006-70-1,CS,2/20/2020,,1,70,3,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,3/10/2020,3/27/2020,3/16/2020,3/18/2020,3/30/2020,39,6,13,8,9,3,20,6,2,,,
1-Apr,MK-000-P-9040-70-1,CS,2/6/2020,,1,70,4,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/7/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,1,7,18,2,27,,,,,
1-May,MK-000-P-9586-70-1,CS,2/18/2020,,1,70,5,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,3/17/2020,,2/27/2020,3/19/2020,30,1,1,7,19,2,28,,,,,
1-Jun,MK-000-P-9723-70-1,CS,2/11/2020,,1,70,6,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/13/2020,2/15/2020,,,2/25/2020,3/19/2020,37,2,2,10,,,33,,,,,
1-Jul,MK-000-P-9752-70-1,CS,2/6/2020,,1,70,7,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/9/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,3,5,18,2,25,,,,,
1-Aug,MK-000-P-9901-72-1,CS,2/13/2020,,1,70,8,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/15/2020,2/16/2020,,,2/25/2020,3/19/2020,35,2,1,9,,,32,,,,,
1-Sep,MK-000-P-9901-73-1,CS,2/13/2020,,1,70,9,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/15/2020,2/16/2020,,,2/25/2020,3/19/2020,35,2,1,9,,,32,,,,,
1-Oct,MK-000-P-9901-74-1,CS,2/6/2020,,1,70,10,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/7/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,1,7,18,2,27,,,,,
1-Nov,MK-000-P-9903-71-1,CS,2/18/2020,,1,70,11,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/25/2020,3/17/2020,,3/4/2020,3/19/2020,30,3,4,8,13,2,23,,,,,
1-Dec,MK-000-P-9909-81-1,SS,2/6/2020,,4,80,12,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/13/2020,,3/10/2020,3/11/2020,3/30/2020,53,0,7,27,,,46,26,1,,,
2-Dec,MK-000-P-9909-81-2,SS,2/13/2020,,4,80,12,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/17/2020,2/18/2020,,3/10/2020,3/11/2020,3/30/2020,46,4,1,22,,,41,21,1,,,
