,1773,,,,,,1773,1773,1773,1773,110,0,1750,0,689,1492,1288,1398,1772,,,,,,,
SHOP,ISO NO,PIECEMARK,REF. DWG.,LINE NO.,PAINT SYS.,TOP COAT,DATE PULL,FIRST FIT,FINAL FIT,WELD OUT,DATE TO STRESS,BACK AT SHOP,SHOP QC,CLIENT QC,READY TO SHIP COATING,SHIP TO COATING,APPROVAL TO SHIP,READY TO SHIP,TO SITE,LOAD NO.,SPEC.,PHASE,ON HOLD,OFF HOLD,HYDRO,HYDRO DATE
BR        ,      87-1,MK-000-P-9937-20-1,000-P-9937-20                                ,"900-P-9937-2""-T9SL5S01-ET-2 1/2""-HC          ",NONE                     ,-                   ,02/12/2020,02/17/2020,02/19/2020,02/19/2020,02/21/2020,,02/29/2020,,,,,03/03/2020,03/10/2020,B3002     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,      88-1,MK-000-P-9938-20-1,000-P-9938-20                                ,"900-P-9938-2""-T9SL5S01-ET-2 1/2""-HC          ",NONE                     ,-                   ,02/12/2020,02/17/2020,02/19/2020,02/19/2020,02/21/2020,,02/29/2020,,,,,03/03/2020,03/10/2020,B3002     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,      89-1,MK-000-P-9939-20-1,000-P-9939-20                                ,"900-P-9939-2""-T3SL5S01-ET-2 1/2""-HC          ",NONE                     ,-                   ,02/12/2020,02/17/2020,02/19/2020,02/19/2020,02/21/2020,,02/20/2020,,,,,03/10/2020,03/13/2020,B3004     ,T3SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,      90-1,MK-000-P-9940-20-1,000-P-9940-20                                ,"900-P-9940-2""-T3SL5S01-ET-3""-HC              ",NONE                     ,-                   ,02/20/2020,02/22/2020,02/22/2020,02/24/2020,03/09/2020,,03/09/2020,,,,,03/07/2020,03/18/2020,B3006     ,T3SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,      91-1,MK-000-P-9940-22-1,000-P-9940-22                                ,"900-P-9940-2""-T3SL5S01-ET-3""-HC              ",NONE                     ,-                   ,03/04/2020,03/05/2020,03/05/2020,03/06/2020,03/11/2020,,03/10/2020,,,,,03/17/2020,03/18/2020,B3006     ,T3SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     112-1,MK-000-P-9054-30-1,000-P-9054-30                                ,"900-P-9054-14""-T6NS5S01-ETW-2 1/2""-HC        ",NONE                     ,-                   ,02/17/2020,02/24/2020,03/06/2020,03/07/2020,,,03/09/2020,,,,,03/17/2020,03/18/2020,B3006     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     139-1,MK-000-WS-9058-30-1,000-WS-9058-30                               ,"900-WS-9058-3""-T6NS5S01-ETW-1 1/2""-PF        ",NONE                     ,-                   ,02/06/2020,02/11/2020,02/12/2020,02/13/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     140-1,MK-000-WS-9058-31-1,000-WS-9058-31                               ,"900-WS-9058-3""-T6NS5S01-ETW-1 1/2""-PF        ",NONE                     ,-                   ,02/06/2020,02/11/2020,02/11/2020,02/12/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     141-1,MK-000-WS-9059-30-1,000-WS-9059-30                               ,"900-WS-9059-3""-T3NS5S01-ETW-1 1/2""-PF        ",NONE                     ,-                   ,02/17/2020,02/19/2020,02/20/2020,02/21/2020,,,02/29/2020,,,,,03/03/2020,03/10/2020,B3002     ,T3NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     169-1,MK-000-WS-9075-30-1,000-WS-9075-30                               ,"900-WS-9075-3""-T6NS5S01-ETW-1 1/2""-PF        ",NONE                     ,-                   ,02/06/2020,02/11/2020,02/11/2020,02/12/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     170-1,MK-000-WS-9221-30-1,000-WS-9221-30                               ,"900-WS-9221-3""-T6NS5S01-ETW-1 1/2""-PF        ",NONE                     ,-                   ,02/06/2020,02/12/2020,02/13/2020,02/18/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     202-1,MK-000-WS-9068-30-1,000-WS-9068-30                               ,"900-WS-9068-2""-T3NS5S01-ETW-1""-PF            ",NONE                     ,-                   ,02/06/2020,02/11/2020,02/11/2020,02/12/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T3NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     203-1,MK-000-WS-9588-80-1,000-WS-9588-80                               ,"900-WS-9588-2""-T6NS5S01-ETW-1""-PF            ",NONE                     ,-                   ,02/17/2020,02/19/2020,02/20/2020,02/20/2020,,,03/09/2020,,,,,03/10/2020,03/13/2020,B3004     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     203-2,MK-000-WS-9588-80-2,000-WS-9588-80                               ,"900-WS-9588-2""-T6NS5S01-ETW-1""-PF            ",NONE                     ,-                   ,02/17/2020,02/19/2020,02/20/2020,02/21/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     203-3,MK-000-WS-9588-80-3,000-WS-9588-80                               ,"900-WS-9588-2""-T6NS5S01-ETW-1""-PF            ",NONE                     ,-                   ,02/17/2020,02/19/2020,02/20/2020,02/21/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     204-1,MK-000-WS-9588-81-1,000-WS-9588-81                               ,"900-WS-9588-2""-T6NS5S01-ETW-1""-PF            ",NONE                     ,-                   ,02/17/2020,02/19/2020,02/20/2020,02/21/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     204-2,MK-000-WS-9588-81-2,000-WS-9588-81                               ,"900-WS-9588-2""-T6NS5S01-ETW-1""-PF            ",NONE                     ,-                   ,02/06/2020,02/11/2020,02/13/2020,02/13/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     204-3,MK-000-WS-9588-81-3,000-WS-9588-81                               ,"900-WS-9588-2""-T6NS5S01-ETW-1""-PF            ",NONE                     ,-                   ,03/05/2020,03/06/2020,03/07/2020,03/09/2020,,,03/13/2020,,,,,03/17/2020,03/18/2020,B3006     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     205-1,MK-000-WS-9695-80-1,000-WS-9695-80                               ,"900-WS-9695-2""-T6NS5S01-ETW-1""-PF            ",NONE                     ,-                   ,02/06/2020,02/11/2020,02/11/2020,02/12/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     205-2,MK-000-WS-9695-80-2,000-WS-9695-80                               ,"900-WS-9695-2""-T6NS5S01-ETW-1""-PF            ",NONE                     ,-                   ,02/17/2020,02/19/2020,02/20/2020,02/20/2020,,,03/09/2020,,,,,03/10/2020,03/13/2020,B3004     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     205-3,MK-000-WS-9695-80-3,000-WS-9695-80                               ,"900-WS-9695-2""-T6NS5S01-ETW-1""-PF            ",NONE                     ,-                   ,02/06/2020,02/10/2020,02/10/2020,02/11/2020,,,03/09/2020,,,,,03/10/2020,03/13/2020,B3004     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
