BOM PATH, POS, TAG NUMBER, SIZE, DESCRIPTION, LIST QUANTITY, UNIT, TRANSMITTL, GROUP-PERF, SKETCH,, PRIORITY, SPEC, CWP,SCHEDULE,CLASS,l
PIPING/7052/J04/375-1,1,PWRCAEACGAIEBZ~1X3/4,1X3/4,"- RED CONC; ASME B16.9; BE; SCH 80S; SS ASTM A403 GR WP304/WP304L (DUAL-STAMPED) - L55GF1DA 1X3/4""",1,ea,1,FITTINGS,PM102XA-TR-F140E.02-1,PM102XA-TR-F140EN3.01-1,-,FB8,1,80S,,
PIPING/7052/J04/375-1,2,PFACADAACGIAIZ~1,1,"- FLG WN; RF; ASME B16.5; CL 150; SCH 80S; SS ASTM A182 GR F304/F304L (DUAL-STAMPED) - L40BF3DG 1""",1,ea,1,FLANGES,PM102XA-TR-F140E.02-1,PM102XA-TR-F140EN3.01-1,-,FB8,1,80S,,
PIPING/7052/J04/375-1,3,PFACADAACGIAIZ~3/4,4-Mar,"- FLG WN; RF; ASME B16.5; CL 150; SCH 80S; SS ASTM A182 GR F304/F304L (DUAL-STAMPED) - L40BF3DG 3/4""",1,ea,1,FLANGES,PM102XA-TR-F140E.02-1,PM102XA-TR-F140EN3.01-1,-,FB8,1,80S,,
PIPING/7052/J04/375-2,1,PPAACBBZCGIAIZ~1,1,"- PIPE; SMLS; ASME B36.19M; PL END; SCH 80S; SS ASTM A312 GR TP304/TP304L (DUAL-STAMPED) - L13GF1 1""",7.3,ft,1,PIPE,PM102XA-TR-F140E.02-2,PM102XA-TR-F140EN3.01-2,-,FB8,1,80S,,
PIPING/7052/J04/375-2,2,PWTAAEACGAIEBZ~1X1,1X1,"- TEE; ASME B16.9; BE; SCH 80S; SS ASTM A403 GR WP304/WP304L (DUAL-STAMPED) - L51GF1 1X1""",1,ea,1,FITTINGS,PM102XA-TR-F140E.02-2,PM102XA-TR-F140EN3.01-2,-,FB8,1,80S,,
PIPING/7052/J04/375-2,3,PWLCAEACGAIEBZ~1,1,"- ELL 90-DEG LR; ASME B16.9; BE; SCH 80S; SS ASTM A403 GR WP304/WP304L (DUAL-STAMPED) - L50GF1BC 1""",1,ea,1,FITTINGS,PM102XA-TR-F140E.02-2,PM102XA-TR-F140EN3.01-2,-,FB8,1,80S,,
PIPING/7052/J04/375-2,5,PFACADAACGIAIZ~1,1,"- FLG WN; RF; ASME B16.5; CL 150; SCH 80S; SS ASTM A182 GR F304/F304L (DUAL-STAMPED) - L40BF3DG 1""",1,ea,1,FLANGES,PM102XA-TR-F140E.02-2,PM102XA-TR-F140EN3.01-2,-,FB8,1,80S,,
PIPING/7052/J04/375-2,6,PFACADAACGIAIZ~1,1,"- FLG WN; RF; ASME B16.5; CL 150; SCH 80S; SS ASTM A182 GR F304/F304L (DUAL-STAMPED) - L40BF3DG 1""",1,ea,1,FLANGES,PM102XA-TR-F140E.02-2,PM102XA-TR-F140EN3.01-2,-,FB8,1,80S,,
PIPING/7052/J04/375-2,7,XWP10-A-C-90-6-0.20-E_375-2~1,1,"- XWP10-A-C-90-6-0.20-E 1""",1,ea,1,SUPPORTS,PM102XA-TR-F140E.02-2,PM102XA-TR-F140EN3.01-2,-,FB8,1,None,,
PIPING/7052/J04/375-3,1,PFBCADAAZZIAIZ~1,1,"- FLG BLIND; RF; ASME B16.5; CL 150; SS ASTM A182 GR F304/F304L (DUAL-STAMPED) - L43BF3 1""",1,ea,1,FLANGES,PM102XA-TR-F140E.02-3,PM102XA-TR-F140EN3.01-3,-,FB8,1,None,,
