"spool","piecemark","material","issued","pulled","priority","area","iso","detailing","checking","shop","on_hold","multiplier","jobnum","client","status","items","shorts","missing_valve_only","weldout","rts","rtsc","stc","delivered","workable","i_p"
"1-1","PK101XA-C-1511.01-1","304/304L SS","","","7","J04","1","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"2-1","PK101XA-C-1513.01-1","304/304L SS","","","7","J04","2","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"3-1","PK101XA-C-1515.01-1","304/304L SS","","","7","J04","3","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"4-1","PK101XA-C-1517.01-1","304/304L SS","","","7","J04","4","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"5-1","PK101XA-C-1519.01-1","304/304L SS","","","7","J04","5","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"6-1","PK101XA-C-1525.01-1","304/304L SS","","","7","J04","6","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"7-1","PK101XA-C-1606E.01-1","304/304L SS","","","7","J04","7","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"8-1","PK101XA-C-1611.01-1","304/304L SS","","","7","J04","8","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"9-1","PK101XA-C-1613.01-1","304/304L SS","","","7","J04","9","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"10-1","PK101XA-C-1615.01-1","304/304L SS","","","7","J04","10","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"11-1","PK101XA-C-1617.01-1","304/304L SS","","","7","J04","11","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"12-1","PK101XA-C-1619.01-1","304/304L SS","","","7","J04","12","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"13-1","PK101XA-C-97624.01-1","304/304L SS","","","7","J05","13","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"13-2","PK101XA-C-97624.01-2","304/304L SS","","","7","J05","13","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"14-1","PK101XA-C-97624.02-1","304/304L SS","","","7","J05","14","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"14-2","PK101XA-C-97624.02-2","304/304L SS","","","7","J05","14","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"14-3","PK101XA-C-97624.02-3","304/304L SS","","","7","J05","14","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"15-1","PK101XA-C-97624.03-1","304/304L SS","","","7","J05","15","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"16-1","PK101XA-C-102338.01-1","304/304L SS","","","7","J05","16","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"16-2","PK101XA-C-102338.01-2","304/304L SS","","","7","J05","16","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
