BOM PATH, POS, TAG NUMBER, SIZE, DESCRIPTION, LIST QUANTITY, UNIT, TRANSMITTL, GROUP-PERF, SKETCH, PRIORITY, SPEC, CWP,SCHEDULE,CLASS,j
PIPING/7052/J01/118-1,1,PPAACAAZBBSAEZ~8,8,"- PIPE; SMLS; ASME B36.10M; BE END; SCH 10; AL ASTM B241 6063-T6 8""",15.6,ft,1,PIPE,PK104XA-YB-97367.01-1,-,N,1,10,,
PIPING/7052/J01/118-1,2,PPNACBUDCGSAEZ~1,1,"- PIPE NIP; SMLS; ASME B36.19M; POE X TOE; 4 IN LG; SCH 80S; AL ASTM B241 6063-T6 1""",1,ea,1,FITTINGS,PK104XA-YB-97367.01-1,-,N,1,80S,,
PIPING/7052/J01/118-1,3,PFLAADAAXASADZ~8,8,"- FLG PL; FF; ASME B16.5; CL 150; 1/2"" THK; AL ASTM B209 ALLOY 6061-T6 8""",1,ea,1,FLANGES,PK104XA-YB-97367.01-1,-,N,1,None,150,
PIPING/7052/J01/118-1,4,PFLAADAAXASADZ~8,8,"- FLG PL; FF; ASME B16.5; CL 150; 1/2"" THK; AL ASTM B209 ALLOY 6061-T6 8""",1,ea,1,FLANGES,PK104XA-YB-97367.01-1,-,N,1,None,150,
PIPING/7052/J01/119-1,1,PPAACAAZBBSAEZ~8,8,"- PIPE; SMLS; ASME B36.10M; BE END; SCH 10; AL ASTM B241 6063-T6 8""",11.6,ft,1,PIPE,PK104XA-YB-97367.02-1,-,N,1,10,,
PIPING/7052/J01/119-1,2,PFLAADAAXASADZ~8,8,"- FLG PL; FF; ASME B16.5; CL 150; 1/2"" THK; AL ASTM B209 ALLOY 6061-T6 8""",1,ea,1,FLANGES,PK104XA-YB-97367.02-1,-,N,1,None,150,
PIPING/7052/J01/119-1,3,PFLAADAAXASADZ~8,8,"- FLG PL; FF; ASME B16.5; CL 150; 1/2"" THK; AL ASTM B209 ALLOY 6061-T6 8""",1,ea,1,FLANGES,PK104XA-YB-97367.02-1,-,N,1,None,150,
PIPING/7052/J01/119-2,1,PPAACAAZBBSAEZ~8,8,"- PIPE; SMLS; ASME B36.10M; BE END; SCH 10; AL ASTM B241 6063-T6 8""",3,ft,1,PIPE,PK104XA-YB-97367.02-2,-,N,1,10,,
PIPING/7052/J01/119-2,2,PFLAADAAXASADZ~8,8,"- FLG PL; FF; ASME B16.5; CL 150; 1/2"" THK; AL ASTM B209 ALLOY 6061-T6 8""",1,ea,1,FLANGES,PK104XA-YB-97367.02-2,-,N,1,None,150,
PIPING/7052/J01/119-2,3,PFLAADAAXASADZ~8,8,"- FLG PL; FF; ASME B16.5; CL 150; 1/2"" THK; AL ASTM B209 ALLOY 6061-T6 8""",1,ea,1,FLANGES,PK104XA-YB-97367.02-2,-,N,1,None,150,
PIPING/7052/J01/2035-1,1,PFBAADAAXASADZ~8,8,"- FLG BLIND; FF; ASME B16.5; CL 150; 1/2"" THK; AL ASTM B209 ALLOY 6061-T6 8""",1,ea,1,FLANGES,PK104XA-CNV-315.03-1,-,N,1,None,150,
PIPING/7052/J01/2049-1,1,PFBAADAAXASADZ~14,14,"- FLG BLIND; FF; ASME B16.5; CL 150; 1/2"" THK; AL ASTM B209 ALLOY 6061-T6 14""",1,ea,1,FLANGES,PK104XA-CNV-325.16-1,-,N,1,None,150,
PIPING/7052/J01/205-1,1,PPAACABZBKABBZ~3/4,3/4,"- PIPE; SMLS; ASME B36.10M; PE; SCH 160; CS ASTM A106 GR B - L11LA1A 3/4""",0.4,ft,1,PIPE,PK110XA-CS-97779.03-1,-,AF1,1,160,,
PIPING/7052/J01/205-1,2,PFBCADABZZAACZ~2,2,"- FLG BLIND; RF; ASME B16.5; CL 300; CS ASTM A105N - L43FA3 2""",1,ea,1,FLANGES,PK110XA-CS-97779.03-1,-,AF1,1,None,300,
PIPING/7052/J01/205-1,3,VGQDJBQAIAZ011~3/4,3/4,"- GYAABM GATE VALVE; API CL 800; SW X FNPT; CS; HNDWHL OPR; STD PORT  - OE Status  0 CUST TAG: AF1:L20KBZHD - L20KBZHD 3/4""",1,ea,1,VALVES / IN-LINE ITEMS,PK110XA-CS-97779.03-1,-,AF1,1,None,800,
PIPING/7052/J01/2053-1,1,PFBAADAAXASADZ~10,10,"- FLG BLIND; FF; ASME B16.5; CL 150; 1/2"" THK; AL ASTM B209 ALLOY 6061-T6 10""",1,ea,1,FLANGES,PK104XA-CNV-1603.03-1,-,N,1,None,150,
PIPING/7052/J01/2055-1,1,PFBAADAAXASADZ~14,14,"- FLG BLIND; FF; ASME B16.5; CL 150; 1/2"" THK; AL ASTM B209 ALLOY 6061-T6 14""",1,ea,1,FLANGES,PK104XA-CNV-3003.01-1,-,N,1,None,150,
PIPING/7052/J01/206-1,1,PFACADABACAACZ~2,2,"- FLG WN; RF; ASME B16.5; CL 300; XS; CS ASTM A105N - L40FA3DN 2""",1,ea,1,FLANGES,PK110XA-CS-100001.01-1,-,AB1,1,XS,300,
PIPING/7052/J01/206-1,2,PFACADAAACAACZ~2,2,"- FLG WN; RF; ASME B16.5; CL 150; XS; CS ASTM A105N - L40BA3DN 2""",1,ea,1,FLANGES,PK110XA-CS-100001.01-1,-,AB1,1,XS,150,
PIPING/7052/J01/207-1,1,PPAACABZBKABBZ~3/4,3/4,"- PIPE; SMLS; ASME B36.10M; PE; SCH 160; CS ASTM A106 GR B - L11LA1A 3/4""",0.3,ft,1,PIPE,PK110XA-CW-3707.01-1,-,AB0,1,160,,
PIPING/7052/J01/207-1,2,PFBCADAAZZAACZ~3,3,"- FLG BLIND; RF; ASME B16.5; CL 150; CS ASTM A105N - L43BA3 3""",1,ea,1,FLANGES,PK110XA-CW-3707.01-1,-,AB0,1,None,150,
PIPING/7052/J01/207-1,3,VGQDJBQAIAZ011~3/4,3/4,"- GYAABM GATE VALVE; API CL 800; SW X FNPT; CS; HNDWHL OPR; STD PORT  - OE Status  0 CUST TAG: AF1:L20KBZHD - L20KBZHD 3/4""",1,ea,1,VALVES / IN-LINE ITEMS,PK110XA-CW-3707.01-1,-,AB0,1,None,800,
PIPING/7052/J01/208-1,1,VGQDJBQAIAZ011~3/4,3/4,"- GYAABM GATE VALVE; API CL 800; SW X FNPT; CS; HNDWHL OPR; STD PORT  - OE Status  0 CUST TAG: AF1:L20KBZHD - L20KBZHD 3/4""",1,ea,1,VALVES / IN-LINE ITEMS,PK110XA-CW-3708.01-1,-,AB0,1,None,800,
PIPING/7052/J01/208-1,2,PFBCADAAZZAACZ~3,3,"- FLG BLIND; RF; ASME B16.5; CL 150; CS ASTM A105N - L43BA3 3""",1,ea,1,FLANGES,PK110XA-CW-3708.01-1,-,AB0,1,None,150,
PIPING/7052/J01/208-1,3,PPAACABZBKABBZ~3/4,3/4,"- PIPE; SMLS; ASME B36.10M; PE; SCH 160; CS ASTM A106 GR B - L11LA1A 3/4""",0.3,ft,1,PIPE,PK110XA-CW-3708.01-1,-,AB0,1,160,,
PIPING/7052/J01/209-1,1,PFACADAAACAACZ~2,2,"- FLG WN; RF; ASME B16.5; CL 150; XS; CS ASTM A105N - L40BA3DN 2""",1,ea,1,FLANGES,PK110XA-N-100004.01-1,-,AB1,1,XS,150,
