Sheetsketc,Pcmkipcmar,Sheetrefdw,Sheetclien,Sheetclie1,Sheetlinen,Sheetpaint,Sheettopco,Sheetprior,Sheetprio1,Pulltranda,_1fittrand,Ffittranda,Wouttranda,Strestrand,Bastrandat,Sqctrandat,Cqctrandat,Rtctrandat,Stctrandat,Atstrandat,Rtstrandat,Sitetranda,Idfilloadn,Sheetbomco,Sheetlines,Sheetphase,Idfilonhol,Idfiloffho,Sheetshoph,Hydrotrand,Jobsjobpla,Sheetcusts,Sheettrans,Sheetpwht,Sheetpmi,Sheetfabco,Pcmkiitemw,Sheetsum_f,Sheetrevle
     480-1,7052-480-1-A                  ,1792-300-3057                                ,3,1,"V-383 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,19C       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,3,0
     480-2,7052-480-2-A                  ,1792-300-3057                                ,3,1,"V-383 20"" NOZZLE ""L""                         ",NONE                     ,-                   ,,19C       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,4.5,0
     480-3,7052-480-3-A                  ,1792-300-3057                                ,3,1,"V-383 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,19C       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     480-4,7052-480-4-A                  ,1792-300-3057                                ,3,1,"V-383 8"" NOZZLE ""R""                          ",NONE                     ,-                   ,,19C       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,0.56,0
     480-5,7052-480-5-A                  ,1792-300-3057                                ,3,1,"V-383 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,19C       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,0
     480-6,7052-480-6-A                  ,1792-300-3057                                ,3,1,"V-383 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,19C       ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     481-1,7052-481-1-A                  ,1792-300-3058                                ,1,1,"V-310 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,1A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     481-2,7052-481-2-A                  ,1792-300-3058                                ,1,1,"V-310 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,1A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     481-3,7052-481-3-A                  ,1792-300-3058                                ,1,1,"V-310 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,1A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     481-4,7052-481-4-A                  ,1792-300-3058                                ,1,1,"V-310 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,1A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,0
     481-5,7052-481-5-A                  ,1792-300-3058                                ,1,1,"V-310 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,1A        ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     482-1,7052-482-1-A                  ,1792-300-3058                                ,1,1,"V-311 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,2A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     482-2,7052-482-2-A                  ,1792-300-3058                                ,1,1,"V-311 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,2A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     482-3,7052-482-3-A                  ,1792-300-3058                                ,1,1,"V-311 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,2A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     482-4,7052-482-4-A                  ,1792-300-3058                                ,1,1,"V-311 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,2A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     482-5,7052-482-5-A                  ,1792-300-3058                                ,1,1,"V-311 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,2A        ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     483-1,7052-483-1-A                  ,1792-300-3058                                ,1,1,"V-312 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,3A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     483-2,7052-483-2-A                  ,1792-300-3058                                ,1,1,"V-312 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,3A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     483-3,7052-483-3-A                  ,1792-300-3058                                ,1,1,"V-312 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,3A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     483-4,7052-483-4-A                  ,1792-300-3058                                ,1,1,"V-312 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,3A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     483-5,7052-483-5-A                  ,1792-300-3058                                ,1,1,"V-312 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,3A        ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     484-1,7052-484-1-A                  ,1792-300-3058                                ,1,1,"V-313 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,4A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     484-2,7052-484-2-A                  ,1792-300-3058                                ,1,1,"V-313 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,4A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     484-3,7052-484-3-A                  ,1792-300-3058                                ,1,1,"V-313 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,4A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     484-4,7052-484-4-A                  ,1792-300-3058                                ,1,1,"V-313 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,4A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     484-5,7052-484-5-A                  ,1792-300-3058                                ,1,1,"V-313 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,4A        ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     485-1,7052-485-1-A                  ,1792-300-3058                                ,1,1,"V-314 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,5A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     485-2,7052-485-2-A                  ,1792-300-3058                                ,1,1,"V-314 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,5A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     485-3,7052-485-3-A                  ,1792-300-3058                                ,1,1,"V-314 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,5A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     485-4,7052-485-4-A                  ,1792-300-3058                                ,1,1,"V-314 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,5A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     485-5,7052-485-5-A                  ,1792-300-3058                                ,1,1,"V-314 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,5A        ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     486-1,7052-486-1-A                  ,1792-300-3058                                ,1,1,"V-315 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,6A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
