BOM PATH, POS, TAG NUMBER, SIZE, DESCRIPTION, LIST QUANTITY, UNIT, TRANSMITTL, GROUP-PERF, SKETCH, PRIORITY, SPEC, CWP,SCHEDULE,CLASS,a
PIPING/7114/4060/1164-1,1,A106-AAPA100_STD~1/2,1/2,"- PIPE PE SMLS ASME B36.10M STD WT CS ASTM A106 GR B 1/2""",17.7,ft,4060,PIPE,0-7114-1164-1,2,P1A42M,4060,STD,,
PIPING/7114/4060/1164-1,2,CS-ABTA330_3000~1/2X1/2,1/2X1/2,"- TEE ASME B16.11 SW CL3000 FS ASTM A105 1/2X1/2""",1,ea,4060,FITTINGS,0-7114-1164-1,2,P1A42M,4060,None,3000,
PIPING/7114/4060/1164-1,3,CS-ABEB330_3000~1/2,1/2,"- ELBOW 90 DEG ASME B16.11 SW CL3000 FS ASTM A105 1/2""",1,ea,4060,FITTINGS,0-7114-1164-1,2,P1A42M,4060,None,3000,
PIPING/7114/4060/1164-1,4,CS-00NPC0J_XS~1/2,1/2,"- NIPPLE POE/TOE NPT 2"" LONG XS CS ASTM A106 1/2""",1,ea,4060,FITTINGS,0-7114-1164-1,2,P1A42M,4060,XS,,
PIPING/7114/4060/1164-1,5,CS-ABEB330_3000~1/2,1/2,"- ELBOW 90 DEG ASME B16.11 SW CL3000 FS ASTM A105 1/2""",1,ea,4060,FITTINGS,0-7114-1164-1,2,P1A42M,4060,None,3000,
PIPING/7114/4060/1165-1,7,A106-AAPA100_STD~1/2,1/2,"- PIPE PE SMLS ASME B36.10M STD WT CS ASTM A106 GR B 1/2""",20.7,ft,4060,PIPE,0-7114-1165-1,2,P1A42M,4060,STD,,
PIPING/7114/4060/1165-1,8,CS-ABEB330_3000~1/2,1/2,"- ELBOW 90 DEG ASME B16.11 SW CL3000 FS ASTM A105 1/2""",4,ea,4060,FITTINGS,0-7114-1165-1,2,P1A42M,4060,None,3000,
PIPING/7114/4060/203,1,316W-AAEA200_10S~2,2,"- ELBOW 90 DEG LR ASME B16.9 BW SCH 10S SS ASTM A403 GR WP316/316L 2""",1,ea,4060,FITTINGS,0-7114-203-1,2,P1B151B,4060,10S,,
PIPING/7114/4060/203,2,316W-AAEA200_10S~2,2,"- ELBOW 90 DEG LR ASME B16.9 BW SCH 10S SS ASTM A403 GR WP316/316L 2""",1,ea,4060,FITTINGS,0-7114-203-1,2,P1B151B,4060,10S,,
PIPING/7114/4060/203,3,316W-AAEA200_10S~2,2,"- ELBOW 90 DEG LR ASME B16.9 BW SCH 10S SS ASTM A403 GR WP316/316L 2""",1,ea,4060,FITTINGS,0-7114-203-1,2,P1B151B,4060,10S,,
PIPING/7114/4060/203,4,316W-AAPA100_10S~2,2,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP316/316L 2""",15,ft,4060,PIPE,0-7114-203-1,2,P1B151B,4060,10S,,
PIPING/7114/4060/203,5,316W-AAPA100_10S~2,2,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP316/316L 2""",20,ft,4060,PIPE,0-7114-203-2,2,P1B151B,4060,10S,,
PIPING/7114/4060/203,6,316W-AAPA100_10S~2,2,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP316/316L 2""",20,ft,4060,PIPE,0-7114-203-3,2,P1B151B,4060,10S,,
PIPING/7114/4060/203,7,316W-AAPA100_10S~2,2,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP316/316L 2""",20,ft,4060,PIPE,0-7114-203-4,2,P1B151B,4060,10S,,
PIPING/7114/4060/203,8,316W-AAPA100_10S~2,2,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP316/316L 2""",20,ft,4060,PIPE,0-7114-203-5,2,P1B151B,4060,10S,,
PIPING/7114/4060/203,9,316W-AAPA100_10S~2,2,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP316/316L 2""",20,ft,4060,PIPE,0-7114-203-6,2,P1B151B,4060,10S,,
PIPING/7114/4060/203,10,316W-AAPA100_10S~2,2,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP316/316L 2""",20,ft,4060,PIPE,0-7114-203-7,2,P1B151B,4060,10S,,
PIPING/7114/4060/203,11,316-AAFWBB0_40S:150~1/2,1/2,"- FLANGE WN CL150 RF ASME B16.5 SCH 40S FORGED SS ASTM A182 GR F316 / 316L 1/2""",1,ea,4060,FLANGES,0-7114-203-8,2,P1B151B,4060,40S,150,
PIPING/7114/4060/203,13,316W-AAPA100_10S~2,2,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP316/316L 2""",20,ft,4060,PIPE,0-7114-203-8,2,P1B151B,4060,10S,,
PIPING/7114/4060/203-1,1,316-AAFBBB0_150~1/2,1/2,"- FLANGE BLIND CL150 RF ASME B16.5 FORGED SS ASTM A182 GR F316 / 316L 1/2""",1,ea,4060,FLANGES,0-7114-203-9,2,P1B151B,4060,None,150,
