1503,,,,,,,,1122,1040,990,973,149,0,,,,,,,,,
ISO NO.,PIECE MARK,REF. DWG.,SHT. NO.,LINE NO.,PAINT SYS.,TOP COAT,PRIORITY,DATE PULL,FIRST FIT,FINAL FIT,WELD OUT,SHIP TO COATING,TO SITE,LOAD NO.,READY TO SHIP,READY TO SHIP COATING,COMMENTS,SPEC.,AREA,ON HOLD,SHOP,S.O.
19,6-7114-19-3                   ,64012-P1B206AC-6                             ,1,"8""-V-64012-P1B206AC-6                        ",NONE                     ,-                   ,1,10/8/2020,10/13/2020,10/13/2020,10/14/2020,,,B3001     ,,,,P1B206AC  ,6,,BR        ,7114
19,6-7114-19-4                   ,64012-P1B206AC-6                             ,1,"8""-V-64012-P1B206AC-6                        ",NONE                     ,-                   ,1,10/8/2020,10/13/2020,10/13/2020,10/14/2020,,,B3001     ,,,,P1B206AC  ,6,,BR        ,7114
104,6-7114-104-2                  ,64175-P1B43BL-6                              ,1,"1""-SLR-64175-P1B43BL-6-C2-1""                 ",NONE                     ,-                   ,1,10/8/2020,10/13/2020,10/15/2020,10/15/2020,,,,,,,P1B43BL   ,6,,MOBILE    ,7114
104,6-7114-104-1                  ,64175-P1B43BL-6                              ,1,"1""-SLR-64175-P1B43BL-6-C2-1""                 ",NONE                     ,-                   ,1,10/8/2020,10/13/2020,10/13/2020,10/13/2020,,,M3002     ,,,,P1B43BL   ,6,,MOBILE    ,7114
104,6-7114-104-3                  ,64175-P1B43BL-6                              ,1,"1""-SLR-64175-P1B43BL-6-C2-1""                 ",NONE                     ,-                   ,1,10/8/2020,10/12/2020,10/12/2020,10/13/2020,,,M3003     ,,,,P1B43BL   ,6,,MOBILE    ,7114
143,6-7114-143-2                  ,64231-P1B43BL-6                              ,2,"1""-ADD-64231-P1B43BL-6-C2E-1.5""-TE           ",NONE                     ,-                   ,1,9/30/2020,10/5/2020,10/7/2020,10/8/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
143,6-7114-143-3                  ,64231-P1B43BL-6                              ,2,"1""-ADD-64231-P1B43BL-6-C2E-1.5""-TE           ",NONE                     ,-                   ,1,9/30/2020,10/5/2020,10/7/2020,10/8/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
200,6-7114-200-1                  ,64339-P1B206AC-6                             ,1,"8""-V-64339-P1B206AC-6-C2                     ",NONE                     ,-                   ,1,10/7/2020,10/7/2020,10/7/2020,10/7/2020,,,M3001     ,,,,P1B206AC  ,6,,MOBILE    ,7114
200,6-7114-200-2                  ,64339-P1B206AC-6                             ,1,"8""-V-64339-P1B206AC-6-C2                     ",NONE                     ,-                   ,1,10/7/2020,10/7/2020,10/7/2020,10/7/2020,,,M3001     ,,,,P1B206AC  ,6,,MOBILE    ,7114
200,6-7114-200-3                  ,64339-P1B206AC-6                             ,1,"8""-V-64339-P1B206AC-6-C2                     ",NONE                     ,-                   ,1,10/7/2020,10/7/2020,10/7/2020,10/7/2020,,,M3001     ,,,,P1B206AC  ,6,,MOBILE    ,7114
200,6-7114-200-4                  ,64339-P1B206AC-6                             ,1,"8""-V-64339-P1B206AC-6-C2                     ",NONE                     ,-                   ,1,10/7/2020,10/7/2020,10/7/2020,10/7/2020,,,M3001     ,,,,P1B206AC  ,6,,MOBILE    ,7114
208,6-7114-208-1                  ,64343-P1B151B-6                              ,4,"1.5""-SOL-64343-P1B151B-6                     ",NONE                     ,-                   ,1,10/1/2020,10/5/2020,10/5/2020,10/6/2020,,,B3001     ,,,,P1B151B   ,6,,BR        ,7114
208,6-7114-208-2                  ,64343-P1B151B-6                              ,4,"1.5""-SOL-64343-P1B151B-6                     ",NONE                     ,-                   ,1,10/1/2020,10/5/2020,10/5/2020,10/6/2020,,,B3001     ,,,,P1B151B   ,6,,BR        ,7114
208,6-7114-208-3                  ,64343-P1B151B-6                              ,4,"1.5""-SOL-64343-P1B151B-6                     ",NONE                     ,-                   ,1,10/1/2020,10/5/2020,10/7/2020,10/8/2020,,,B3001     ,,,,P1B151B   ,6,,BR        ,7114
226,6-7114-226-5                  ,64140-P1B43BL-6                              ,1,"2""-FS-64140-P1B43BL-6-C2E-1.5""-TE            ",NONE                     ,-                   ,1,10/8/2020,10/13/2020,10/13/2020,10/16/2020,,,,,,,P1B43BL   ,6,,BR        ,7114
226,6-7114-226-2                  ,64140-P1B43BL-6                              ,1,"2""-FS-64140-P1B43BL-6-C2E-1.5""-TE            ",NONE                     ,-                   ,1,10/8/2020,10/13/2020,10/16/2020,10/16/2020,,,B3002     ,,,,P1B43BL   ,6,,BR        ,7114
226,6-7114-226-3                  ,64140-P1B43BL-6                              ,1,"2""-FS-64140-P1B43BL-6-C2E-1.5""-TE            ",NONE                     ,-                   ,1,10/8/2020,10/13/2020,10/16/2020,10/16/2020,,,B3002     ,,,,P1B43BL   ,6,,BR        ,7114
226,6-7114-226-4                  ,64140-P1B43BL-6                              ,1,"2""-FS-64140-P1B43BL-6-C2E-1.5""-TE            ",NONE                     ,-                   ,1,10/8/2020,10/13/2020,10/15/2020,10/15/2020,,,B3002     ,,,,P1B43BL   ,6,,BR        ,7114
228,6-7114-228-1                  ,64140-P1B43BL-6                              ,3,"2""-FS-64140-P1B43BL-6-C2E-1.5""-TE            ",NONE                     ,-                   ,1,10/8/2020,10/13/2020,10/14/2020,10/14/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
228,6-7114-228-2                  ,64140-P1B43BL-6                              ,3,"2""-FS-64140-P1B43BL-6-C2E-1.5""-TE            ",NONE                     ,-                   ,1,10/8/2020,10/13/2020,10/15/2020,10/15/2020,,,B3002     ,,,,P1B43BL   ,6,,BR        ,7114
231,6-7114-231-1                  ,64171-P1B43BL-6                              ,3,"1""-SLR-64171-P1B43BL-6-C6-0.75""              ",NONE                     ,-                   ,1,9/30/2020,10/1/2020,10/5/2020,10/5/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
231,6-7114-231-2                  ,64171-P1B43BL-6                              ,3,"1""-SLR-64171-P1B43BL-6-C6-0.75""              ",NONE                     ,-                   ,1,9/30/2020,10/1/2020,10/5/2020,10/6/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
