BOM PATH, POS, TAG NUMBER, SIZE, DESCRIPTION, LIST QUANTITY, UNIT, TRANSMITTL, GROUP-PERF, SKETCH, PRIORITY, SPEC, CWP,SCHEDULE,CLASS
26-A,,231FE2390~4,4,"SEE INSTRUMENT SUMMARY 231FE2390 4""",1,EA,,INSTRUMENTS,7116-26-A,,,,None,
38-A,,231FE2410~8,8,"SEE INSTRUMENT SUMMARY 231FE2410 8""",1,EA,,INSTRUMENTS,7116-38-A,,,,None,
82-A,,231FE2529~6,6,"SEE INSTRUMENT SUMMARY 231FE2529 6""",1,EA,,INSTRUMENTS,7116-82-A,,,,None,
103-A,,231FE2623~8,8,"SEE INSTRUMENT SUMMARY 231FE2623 8""",1,EA,,INSTRUMENTS,7116-103-A,,,,None,
143-A,,231FE2643~2,2,"SEE INSTRUMENT SUMMARY 231FE2643 2""",1,EA,,INSTRUMENTS,7116-143-A,,,,None,
214-A,,231FE8201~3,3,"SEE INSTRUMENT SUMMARY 231FE8201 3""",1,EA,,INSTRUMENTS,U010-N-8233-5-214-A,,,,None,
96-A,,231PDV2538~4,4,"SEE INSTRUMENT SUMMARY 231PDV2538 4""",1,EA,,INSTRUMENTS,7116-96-A,,,,None,
2-A,,231PV1020~3,3,"SEE INSTRUMENT SUMMARY 231PV1020 3""",1,EA,,INSTRUMENTS,7116-2-A,,,,None,
18-A,,231PV2200~6,6,"SEE INSTRUMENT SUMMARY 231PV2200 6""",1,EA,,INSTRUMENTS,7116-18-A,,,,None,
25-A,,231PV23001~4,4,"SEE INSTRUMENT SUMMARY 231PV23001 4""",1,EA,,INSTRUMENTS,7116-25-A,,,,None,
37-A,,231PV2430~4,4,"SEE INSTRUMENT SUMMARY 231PV2430 4""",1,EA,,INSTRUMENTS,7116-37-A,,,,None,
99-A,,231PV2515~6,6,"SEE INSTRUMENT SUMMARY 231PV2515 6""",1,EA,,INSTRUMENTS,7116-99-A,,,,None,
136-A,,231PV2627~2,2,"SEE INSTRUMENT SUMMARY 231PV2627 2""",1,EA,,INSTRUMENTS,7116-136-A,,,,None,
179-A,,231PV7100~2,2,"SEE INSTRUMENT SUMMARY 231PV7100 2""",1,EA,,INSTRUMENTS,U010-S-7128-1-179-A,,,,None,
69-A,,231-SP-2430-DF~10X4,10X4,"SEE  SP ITEM SUMMARY 10X4""",1,EA,,FITTINGS,7116-69-A,,,,None,
