PIPELINE-REFERENCE,N_S_,WELD-NO,WELD-TYPE,PIPING-SPEC,ISO NO,SPOOL-DRAWING-SEQUENCE-NUMBER,SPOOL-ID,BATCH,,SCHEDULE,ok
U010-231-1010,6,FA1,BW,3CBC01,1,1-A,7116-1-A,1,1-16BW,,
U010-231-1010,4,FA2,BW,3CBC01,1,1-A,7116-1-A,1,1-14BW,,
U010-231-1010,4,FA3,BW,3CBC01,1,1-A,7116-1-A,1,1-14BW,,
U010-231-1010,4,FA4,BW,3CBC01,1,1-A,7116-1-A,1,1-14BW,,
U010-231-1010,4,FA5,BW,3CBC01,1,1-A,7116-1-A,1,1-14BW,,
U010-231-1010,4,FA6,BW,3CBC01,1,1-A,7116-1-A,1,1-14BW,,
U010-231-1010,4,FA7,BW,3CBC01,1,1-A,7116-1-A,1,1-14BW,,
U010-231-1010,4,FA9,BW,3CBC01,2,2-A,7116-2-A,1,2-14BW,,
U010-231-1010,4,FA10,BW,3CBC01,2,2-A,7116-2-A,1,2-14BW,,
U010-231-1010,4,FA11,BW,3CBC01,2,2-A,7116-2-A,1,2-14BW,,
U010-231-1010,4,FA12,BW,3CBC01,2,2-A,7116-2-A,1,2-14BW,,
U010-231-1010,3/4,FA26,OLET,3CBC01,2,2-A,7116-2-A,1,2-13/4OLET,,
U010-231-1010,4,FA13,BW,3CBC01,2,2-A,7116-2-A,1,2-14BW,,
U010-231-1010,3,FA14,BW,3CBC01,2,2-A,7116-2-A,1,2-13BW,,
U010-231-1010,3,FA15,BW,3CBC01,2,2-A,7116-2-A,1,2-13BW,,
U010-231-1010,3,FA16,BW,3CBC01,2,2-A,7116-2-A,1,2-13BW,,
U010-231-1010,3,FA17,BW,3CBC01,2,2-A,7116-2-A,1,2-13BW,,
U010-231-1010,4,FA18,BW,3CBC01,2,2-A,7116-2-A,1,2-14BW,,
U010-231-1010,4,FA19,BW,3CBC01,2,2-A,7116-2-A,1,2-14BW,,
U010-231-1010,1,FA29,OLET,3CBC01,2,2-A,7116-2-A,1,2-11OLET,,
U010-231-1010,4,FA20,BW,3CBC01,2,2-A,7116-2-A,1,2-14BW,,
U010-231-1010,4,FA21,BW,3CBC01,3,3-A,7116-3-A,1,3-14BW,,
U010-231-1010,4,FA22,BW,3CBC01,3,3-A,7116-3-A,1,3-14BW,,
U010-231-1010,3/4,FA46,OLET,3CBC01,3,3-A,7116-3-A,1,3-13/4OLET,,
U010-231-1010,4,FA23,BW,3CBC01,3,3-A,7116-3-A,1,3-14BW,,
U010-231-1010,4,FA24,BW,3CBC01,3,3-A,7116-3-A,1,3-14BW,,
U010-231-1012,6,FA1,BW,3CBB01,4,4-A,7116-4-A,1,4-16BW,,
U010-231-1012,4,FA2,BW,3CBB01,4,4-A,7116-4-A,1,4-14BW,,
U010-231-1012,4,FA3,BW,3CBB01,4,4-A,7116-4-A,1,4-14BW,,
U010-231-1012,4,FA4,BW,3CBB01,4,4-A,7116-4-A,1,4-14BW,,
U010-231-1012,4,FA5,SW,3CBB01,4,4-A,7116-4-A,1,4-14SW,,
U010-231-1012,1/2,FA61,SW,3CBB01,4,4-A,7116-4-A,1,4-11/2SW,,
U010-231-1012,4,FA6,SW,3CBB01,4,4-A,7116-4-A,1,4-14SW,,
U010-231-1012,4,FA7,BW,3CBB01,4,4-A,7116-4-A,1,4-14BW,,
U010-231-1012,3/4,FA65,OLET,3CBB01,4,4-A,7116-4-A,1,4-13/4OLET,,
U010-231-1012,3/4,FA66,BW,3CBB01,4,4-A,7116-4-A,1,4-13/4BW,,
U010-231-1012,4,FA8,BW,3CBB01,4,4-A,7116-4-A,1,4-14BW,,
U010-231-1012,4,FA9,BW,3CBB01,4,4-A,7116-4-A,1,4-14BW,,
U010-231-1012,4,FA10,BW,3CBB01,4,4-A,7116-4-A,1,4-14BW,,
U010-231-1012,4,FA11,BW,3CBB01,4,4-A,7116-4-A,1,4-14BW,,
U010-231-1012,4,FA12,BW,3CBB01,4,4-A,7116-4-A,1,4-14BW,,
U010-231-1012,4,FA13,BW,3CBB01,4,4-A,7116-4-A,1,4-14BW,,
U010-231-1012,4,FA15,BW,3CBB01,4,4-B,7116-4-B,1,4-24BW,,
U010-231-1012,4,FA16,BW,3CBB01,4,4-B,7116-4-B,1,4-24BW,,
U010-231-1012,4,FA17,BW,3CBB01,4,4-B,7116-4-B,1,4-24BW,,
U010-231-1012,4,FA18,BW,3CBB01,4,4-B,7116-4-B,1,4-24BW,,
U010-231-1012,4,FA19,BW,3CBB01,4,4-B,7116-4-B,1,4-24BW,,
U010-231-1012,4,FA20,BW,3CBB01,4,4-B,7116-4-B,1,4-24BW,,
U010-231-1012,4,FA23,BW,3CBB01,6,6-A,7116-6-A,1,6-14BW,,
U010-231-1012,4,FA24,BW,3CBB01,6,6-A,7116-6-A,1,6-14BW,,
U010-231-1012,4,FA25,BW,3CBB01,6,6-A,7116-6-A,1,6-14BW,,
U010-231-1012,4,FA26,BW,3CBB01,6,6-A,7116-6-A,1,6-14BW,,
U010-231-1012,4,FA27,BW,3CBB01,6,6-A,7116-6-A,1,6-14BW,,
U010-231-1012,4,FA28,BW,3CBB01,6,6-A,7116-6-A,1,6-14BW,,
U010-231-1012,4,FA30,BW,3CBB01,7,7-A,7116-7-A,1,7-14BW,,
U010-231-1012,4,FA31,BW,3CBB01,7,7-A,7116-7-A,1,7-14BW,,
U010-231-1012,4,FA32,BW,3CBB01,7,7-A,7116-7-A,1,7-14BW,,
U010-231-1012,4,FA33,BW,3CBB01,7,7-A,7116-7-A,1,7-14BW,,
U010-231-1012,4,FA34,BW,3CBB01,7,7-A,7116-7-A,1,7-14BW,,
U010-231-1012,4,FA35,BW,3CBB01,7,7-A,7116-7-A,1,7-14BW,,
U010-231-1012,4,FA36,BW,3CBB01,7,7-A,7116-7-A,1,7-14BW,,
U010-231-1012,2,FA67,BW,3CBB01,8,8-A,7116-8-A,1,8-12BW,,
U010-231-1012,2,FA68,BW,3CBB01,8,8-A,7116-8-A,1,8-12BW,,
U010-231-1012,4,FA38,BW,3CBB01,8,8-A,7116-8-A,1,8-14BW,,
U010-231-1012,4,FA39,BW,3CBB01,8,8-A,7116-8-A,1,8-14BW,,
U010-231-1012,4,FA40,BW,3CBB01,8,8-A,7116-8-A,1,8-14BW,,
U010-231-1012,1/2,FA73,OLET,3CBB01,8,8-A,7116-8-A,1,8-11/2OLET,,
U010-231-1012,3/4,FA70,OLET,3CBB01,8,8-A,7116-8-A,1,8-13/4OLET,,
U010-231-1012,4,FA41,BW,3CBB01,8,8-A,7116-8-A,1,8-14BW,,
U010-231-1012,4,FA75,BW,3CBB01,8,8-A,7116-8-A,1,8-14BW,,
U010-231-1012,4,FA76,BW,3CBB01,8,8-A,7116-8-A,1,8-14BW,,
U010-231-1012,4,FA77,BW,3CBB01,8,8-A,7116-8-A,1,8-14BW,,
U010-231-1012,4,FA42,BW,3CBB01,8,8-A,7116-8-A,1,8-14BW,,
U010-231-1012,4,FA44,BW,3SAB03,9,9-A,7116-9-A,1,9-14BW,,
U010-231-1012,4,FA45,BW,3SAB03,9,9-A,7116-9-A,1,9-14BW,,
U010-231-1012,4,FA46,BW,3SAB03,9,9-A,7116-9-A,1,9-14BW,,
U010-231-1012,4,FA47,BW,3SAB03,9,9-A,7116-9-A,1,9-14BW,,
U010-231-1012,4,FA48,BW,3SAB03,9,9-A,7116-9-A,1,9-14BW,,
U010-231-1012,4,FA49,BW,3SAB03,9,9-A,7116-9-A,1,9-14BW,,
U010-231-1012,4,FA50,BW,3SAB03,9,9-A,7116-9-A,1,9-14BW,,
U010-231-1012,4,FA51,BW,3SAB03,9,9-A,7116-9-A,1,9-14BW,,
U010-231-1012,4,FA52,BW,3SAB03,9,9-A,7116-9-A,1,9-14BW,,
U010-231-1012,4,FA54,BW,3SAB03,9,9-B,7116-9-B,1,9-24BW,,
U010-231-1012,4,FA55,BW,3SAB03,9,9-B,7116-9-B,1,9-24BW,,
U010-231-1012,4,FA56,BW,3SAB03,9,9-B,7116-9-B,1,9-24BW,,
U010-231-1012,4,FA57,BW,3SAB03,9,9-B,7116-9-B,1,9-24BW,,
U010-231-1012,4,FA58,BW,3SAB03,9,9-B,7116-9-B,1,9-24BW,,
U010-231-1012,4,FA59,BW,3SAB03,9,9-B,7116-9-B,1,9-24BW,,
U010-231-1012,4,FA60,BW,3SAB03,9,9-B,7116-9-B,1,9-24BW,,
U010-231-1015,2,FA1,BW,1SAB07,10,10-A,7116-10-A,1,10-12BW,,
U010-231-1015,2,FA2,BW,1SAB07,10,10-A,7116-10-A,1,10-12BW,,
U010-231-1015,2,FA4,BW,1SAB07,10,10-B,7116-10-B,1,10-22BW,,
U010-231-1015,2,FA5,BW,1SAB07,10,10-B,7116-10-B,1,10-22BW,,
U010-231-2201,14,FA1,BW,1CBB01,11,11-A,7116-11-A,1,11-114BW,,
U010-231-2201,8,FA2,BW,1CBB01,11,11-A,7116-11-A,1,11-18BW,,
U010-231-2201,8,FA17,BW,1CBB01,11,11-A,7116-11-A,1,11-18BW,,
U010-231-2201,8,FA3,BW,1CBB01,11,11-A,7116-11-A,1,11-18BW,,
U010-231-2201,8,FA4,BW,1CBB01,11,11-A,7116-11-A,1,11-18BW,,
U010-231-2201,8,FA5,BW,1CBB01,11,11-A,7116-11-A,1,11-18BW,,
U010-231-2201,1/2,FA18,OLET,1CBB01,11,11-A,7116-11-A,1,11-11/2OLET,,
U010-231-2201,1/2,FA21,OLET,1CBB01,11,11-A,7116-11-A,1,11-11/2OLET,,
U010-231-2201,8,FA6,BW,1CBB01,11,11-A,7116-11-A,1,11-18BW,,
U010-231-2201,8,FA8,BW,1CBB01,12,12-A,7116-12-A,1,12-18BW,,
U010-231-2201,8,FA9,BW,1CBB01,12,12-A,7116-12-A,1,12-18BW,,
U010-231-2201,8,FA10,BW,1CBB01,12,12-A,7116-12-A,1,12-18BW,,
U010-231-2201,8,FA12,BW,1CBB01,12,12-B,7116-12-B,1,12-28BW,,
U010-231-2201,8,FA13,BW,1CBB01,12,12-B,7116-12-B,1,12-28BW,,
U010-231-2201,8,FA14,BW,1CBB01,12,12-B,7116-12-B,1,12-28BW,,
U010-231-2205,4,FA1,SOF,ZCSC01,13,13-A,7116-13-A,1,13-14SOF,,
U010-231-2205,3/4,FA16,OLET,ZCSC01,13,13-A,7116-13-A,1,13-13/4OLET,,
U010-231-2205,4,FA2,BW,ZCSC01,13,13-A,7116-13-A,1,13-14BW,,
U010-231-2205,4,FA3,BW,ZCSC01,13,13-A,7116-13-A,1,13-14BW,,
U010-231-2205,4,FA19,BW,ZCSC01,13,13-A,7116-13-A,1,13-14BW,,
U010-231-2205,4,FA20,SOF,ZCSC01,13,13-A,7116-13-A,1,13-14SOF,,
U010-231-2205,4,FA4,BW,ZCSC01,13,13-A,7116-13-A,1,13-14BW,,
U010-231-2205,4,FA5,BW,ZCSC01,13,13-A,7116-13-A,1,13-14BW,,
U010-231-2205,4,FA7,BW,ZCSC01,14,14-A,7116-14-A,1,14-14BW,,
U010-231-2205,4,FA8,BW,ZCSC01,14,14-A,7116-14-A,1,14-14BW,,
U010-231-2205,4,FA9,BW,ZCSC01,14,14-A,7116-14-A,1,14-14BW,,
U010-231-2205,4,FA10,BW,ZCSC01,14,14-A,7116-14-A,1,14-14BW,,
U010-231-2205,4,FA11,BW,ZCSC01,14,14-A,7116-14-A,1,14-14BW,,
U010-231-2205,3/4,FA21,OLET,ZCSC01,14,14-B,7116-14-B,1,14-23/4OLET,,
U010-231-2205,4,FA13,BW,ZCSC01,14,14-B,7116-14-B,1,14-24BW,,
U010-231-2205,4,FA14,BW,ZCSC01,14,14-B,7116-14-B,1,14-24BW,,
U010-231-2206,4,FA1,SOF,ZCSC01,15,15-A,7116-15-A,1,15-14SOF,,
U010-231-2206,3/4,FA18,OLET,ZCSC01,15,15-A,7116-15-A,1,15-13/4OLET,,
U010-231-2206,4,FA2,SOF,ZCSC01,15,15-A,7116-15-A,1,15-14SOF,,
U010-231-2206,4,FA3,SOF,ZCSC01,16,16-A,7116-16-A,1,16-14SOF,,
U010-231-2206,4,FA4,BW,ZCSC01,16,16-A,7116-16-A,1,16-14BW,,
U010-231-2206,4,FA5,BW,ZCSC01,16,16-A,7116-16-A,1,16-14BW,,
U010-231-2206,2,FA21,BW,ZCSC01,16,16-A,7116-16-A,1,16-12BW,,
