Client Tag,Shipped,Order Date,Delivery Date,
T11A-6#12-4-0-0-0-SS-M_360-4~6,Not Shipped,03/31/20,04/01/20,
T11A-6#18-4-0-0-0-SS_355-1~6,Not Shipped,03/31/20,04/01/20,
T11A-6#18-4-0-0-0-SS_356-2~6,Not Shipped,03/31/20,04/01/20,
T11A-6#18-4-0-0-0-SS_356-3~6,Not Shipped,03/31/20,04/01/20,
T11A-6#18-4-0-0-0-SS_356-4~6,Not Shipped,03/31/20,04/01/20,
T11A-6#18-4-0-0-0-SS_356-5~6,Not Shipped,03/31/20,04/01/20,
T11A-6#18-4-0-0-0-SS_357-1~6,Not Shipped,03/31/20,04/01/20,
T11A-6#18-4-0-0-0-SS_357-2~6,Not Shipped,03/31/20,04/01/20,
T11A-6#18-4-0-0-0-SS_358-1~6,Not Shipped,03/31/20,04/01/20,
T11A-6#18-4-0-0-0-SS_358-2~6,Not Shipped,03/31/20,04/01/20,
T11A-6#18-4-0-0-0-SS_358-3~6,Not Shipped,03/31/20,04/01/20,
T11A-6#18-4-0-0-0-SS_359-1~6,Not Shipped,03/31/20,04/01/20,
T11A-6#18-4-0-0-0-SS_359-2~6,Not Shipped,03/31/20,04/01/20,
T11A-6#18-4-0-0-0-SS_359-3~6,Not Shipped,03/31/20,04/01/20,
T11A-6#18-4-0-0-0-SS_360-2~6,Not Shipped,03/31/20,04/01/20,
T11A-6#20-4-0-0-0-SS-M_358-2~6,Not Shipped,03/31/20,04/01/20,
T11A-6#24-4-0-0-0-SS-M_359-2~6,Not Shipped,03/31/20,04/01/20,
T13A-6#18-5-0-0-0-SS-M_356-1~6,Not Shipped,03/31/20,04/01/20,
T13A-6#18-6-0-0-0-SS_360-3~6,Not Shipped,03/31/20,04/01/20,
T31S-6#24.44-4-9-0-4-SS_355-2~6,Not Shipped,03/31/20,04/01/20,
T40ALR-1#8-4-0-0-0-A3-M_324-1~1,Not Shipped,03/31/20,02/26/20,
T40ALR-4#12-4-0-0-0-A3_321-1~4,Not Shipped,03/31/20,02/26/20,
T2S-8#0-13.5-19.5-0-3-CS-143-3~8,Not Shipped,03/31/20,04/20/20,
T2S-8#0-13-19-0-3-CS-143-3~8,Not Shipped,03/31/20,04/20/20,
T2S-8#0-19-25-0-3-CS-143-1~8,Not Shipped,03/31/20,04/20/20,
T31S-6#17-4-9-0-4-CS-148-2~6,Not Shipped,03/31/20,04/20/20,
T11A-6#18-4-0-0-0-CS-148-1~6,Not Shipped,03/31/20,04/20/20,
T11A-6#18-4-0-0-0-CS-148-3~6,Not Shipped,03/31/20,04/20/20,
T12-16#18-4-0-0-0-CS-546-2~16,Not Shipped,03/31/20,04/20/20,
T12-16#18-4-0-0-0-CS-546-3~16,Not Shipped,03/31/20,04/20/20,
