SIZE,WELD TYPE,MAT'L,SCH.,MOD MAN HOUR CODE,HOURS
.125,BW,321,160,.125BW321160,3.8
.125,BW,321,40S,.125BW32140S,2.8
.125,BW,321,80S,.125BW32180S,3
.125,BW,321,XXS,.125BW321XXS,3.8
.125,BW,347,160,.125BW347160,3.8
.125,BW,347,40S,.125BW34740S,2.8
.125,BW,347,80S,.125BW34780S,3
.125,BW,347,XXS,.125BW347XXS,3.8
.125,BW,904L,160,.125BW904L160,3.8
.125,BW,904L,40S,.125BW904L40S,2.8
.125,BW,904L,80S,.125BW904L80S,3
.125,BW,904L,XXS,.125BW904LXXS,3.8
.125,BW,A20,10S,.125BWA2010S,2.8
.125,BW,A20,160,.125BWA20160,3.8
.125,BW,A20,40S,.125BWA2040S,2.8
.125,BW,A20,80S,.125BWA2080S,3
.125,BW,A20,XXS,.125BWA20XXS,3.8
.125,BW,A333,160,.125BWA333160,1.52
.125,BW,A333,STD,.125BWA333STD,1.12
.125,BW,A333,XS,.125BWA333XS,1.2
.125,BW,A333,XXS,.125BWA333XXS,1.52
.125,BW,AL,160,.125BWAL160,4.56
.125,BW,AL,STD,.125BWALSTD,3.36
.125,BW,AL,XS,.125BWALXS,3.6
.125,BW,AL,XXS,.125BWALXXS,4.56
.125,BW,CS,160,.125BWCS160,1.52
.125,BW,CS,STD,.125BWCSSTD,1.12
.125,BW,CS,XS,.125BWCSXS,1.2
.125,BW,CS,XXS,.125BWCSXXS,1.52
.125,BW,DUPLEX,10S,.125BWDUPLEX10S,2.8
.125,BW,DUPLEX,160,.125BWDUPLEX160,3.8
.125,BW,DUPLEX,40S,.125BWDUPLEX40S,2.8
.125,BW,DUPLEX,80S,.125BWDUPLEX80S,3
.125,BW,DUPLEX,XXS,.125BWDUPLEXXXS,3.8
.125,BW,HAST,10S,.125BWHAST10S,3.36
.125,BW,HAST,160,.125BWHAST160,4.56
.125,BW,HAST,40S,.125BWHAST40S,3.36
.125,BW,HAST,80S,.125BWHAST80S,3.6
.125,BW,HAST,XXS,.125BWHASTXXS,4.56
.125,BW,INCONEL,10S,.125BWINCONEL10S,2.8
.125,BW,INCONEL,160,.125BWINCONEL160,3.8
.125,BW,INCONEL,40S,.125BWINCONEL40S,2.8
.125,BW,INCONEL,80S,.125BWINCONEL80S,3
.125,BW,INCONEL,XXS,.125BWINCONELXXS,3.8
.125,BW,MONEL,10S,.125BWMONEL10S,2.8
.125,BW,MONEL,160,.125BWMONEL160,3.8
.125,BW,MONEL,40S,.125BWMONEL40S,2.8
.125,BW,MONEL,80S,.125BWMONEL80S,3
.125,BW,MONEL,XXS,.125BWMONELXXS,3.8
.125,BW,NICKEL,10S,.125BWNICKEL10S,3.36
.125,BW,NICKEL,160,.125BWNICKEL160,4.56
.125,BW,NICKEL,40S,.125BWNICKEL40S,3.36
.125,BW,NICKEL,80S,.125BWNICKEL80S,3.6
.125,BW,NICKEL,XXS,.125BWNICKELXXS,4.56
.125,BW,P11,160,.125BWP11160,3.04
.125,BW,P11,STD,.125BWP11STD,2.24
.125,BW,P11,XS,.125BWP11XS,2.4
.125,BW,P11,XXS,.125BWP11XXS,3.04
.125,BW,P22,160,.125BWP22160,3.8
.125,BW,P22,STD,.125BWP22STD,2.8
.125,BW,P22,XS,.125BWP22XS,3
.125,BW,P22,XXS,.125BWP22XXS,3.8
.125,BW,P5,160,.125BWP5160,3.04
.125,BW,P5,STD,.125BWP5STD,2.24
.125,BW,P5,XS,.125BWP5XS,2.4
.125,BW,P5,XXS,.125BWP5XXS,3.04
.125,BW,P9,160,.125BWP9160,3.8
.125,BW,P9,STD,.125BWP9STD,2.8
.125,BW,P9,XS,.125BWP9XS,3
.125,BW,P9,XXS,.125BWP9XXS,3.8
.125,BW,SS,10S,.125BWSS10S,1.96
.125,BW,SS,160S,.125BWSS160S,2.66
.125,BW,SS,20S,.125BWSS20S,1.96
.125,BW,SS,40S,.125BWSS40S,1.96
.125,BW,SS,5S,.125BWSS5S,1.96
.125,BW,SS,80S,.125BWSS80S,2.1
